Comentário,misogino,toxico,observacoes
Ele cobrou o programa indiretamente 😂😂😂😂😂,0,0,
Meu boy? 😅😅😅 qual a diferença dela pra outra q mandou o video?  A outra tava cobrando.....Olá o vocábulo 😅😅😅😅,0,0,
Um ☝️ para prover e 100 para trocar o óleo 🛢 🛢 🛢 😅,0,0,Não entendi...kkkkk ;--;
Ele chegou dando bom dia como se dormi se na sala😂😂😂😂😂,0,0,
"Poucos estão percebendo que estão impondo uma mudança radical na forma de crianças se vestirem, pra acelerar a descoberta e exibição da sensualidade. precoce.Quando uma criança posta fotos com roupas sensuais, qual tripo de público ela atrai?Então, fica a dica. Vistam seus filhos e filhas corretamente para não atraírem o mal.",0,0,
Falou bem e o contrário também é verdadeiro. Aprendamos!,0,0,
"O pior que ela está certa!Ela não tem culpa disso, não sei pq a zoação com a menina!Ta cheio de pai assim, o meu nunca me deixou trabalhar, e quando eu queria pra ganhar meu dinheiro ele conversava com o ""patrão"" pra ele acertar com ele e não cmg.Rapaziada essa parada é sério, meus maiores inimigos foram meus pais.",0,0,
"Penso da mesma forma ! Por favor, régua mais baixa.",0,0,
"tenho um inimigo que depois do divorcio com 1 filho (que ele sustenta assim como a mãe do remelento), já colocou dentro de casa novamente uma ""coisa"" com DOIS filhos marmanjos...estou amando kkkkkkkk",0,1,Remelento me soa como um xingamento
"Sinceramente, eu acho muito bem feito para homens que se sujeitaram à isso.",0,1,Desejando mal ao outro
"O jeito que ela olha e fala, que troxa do cara…",0,1,"Chamou o homem de trouxa, mas não xinga mulheres em geral"
"@  o negócio é fazer calistenia na praça, qdo estou na academia só dou Bom dia, boa tarde ou boa noite pras empoderadas, depois nem olho pra evitar maiores  problemas",1,1,"Fala com desdém, sugere que mulheres tendem a fazer alegações falsas de assédio. Diminui opinião das mulheres e generaliza isso"
lestart cowaski don ..canal lestart cowaski ....dando uma prioridade lá,0,0,Não entendi...kkkkk ;--;
"Com essa propaganda ai amigão se vai e rachar de tanto comer periquito, AVANTE PERIQUITEIROS TMJ❤",0,0,"Eu entendi o contexto, mas não acho que seja necessariamente misógino pois não expressa ódio ou aversão às genitálias femininas"
PAREM DE JULGAR A MOÇA GENTE...O AMOR DELA É REAL😅😅,0,0,
"Só tem uma coisa a falar "" diálogo"" isso é fundamental para um casamento durar pelo visto a senhora não sabe o que é isso uma coisa tão simples e o povo faz uma tempestade não concordo se um não gosta da atitude do outro tem que falar sim, pois é isso que amadurece o casal e não ficar juntando coisinhas até se tornar uma tempestade, sem contar que a pessoa casa com um homem e não com uma criança mal educada pq até uma criança sabe que não se deve jogar roupa no chão e mais engraçado é o moço do vídeo falando que tem que valorizar uma dessas sendo que claramente o marido não tá valorizando pq se valoriza se iria se importa com o trabalho dela e envés de bagunça ele iria ajudar",0,1,Tom levemente apelativo e mal educado
"Verdade, essas mulheres que são muito arrumadinhas, cheias de procedimentos estéticos, só servem pra ficar 1 vez, depois nunca mais.",1,1,Expressa aversão às mulheres de forma nítida e invalida mulheres que são vaidosas
Mas a TV lixo globo fica abrindo a boca  pra fala outra coisa,0,1,
"_Casamento: melhor maneira de ficar sem sexo, meu!😮😂😂😂_",0,0,Não está inferiorizando ninguém
A esquerda tbm é péssima afinal for recriado o Ministério das Mulheres.A ideologia do feminismo foi criada pela esquerda.,1,1,"Aversão ao feminismo implica aversão ao diretio das mulheres, na minha concepção, isso é misógino pois instiga o ódio"
Ainda tem muito OTARIO que pega tem um detalhe sao bravo ainda,0,1,
O cara foi esperto mas essa mulher com toda certeza vai enganar outro e conseguir o que ela quer infelizmente.,1,1,
Meu Deus. Eu quero acreditar que isso é mentira.... 😮😮😅😅 Só pode ser brincadeira rsrs.,0,0,
Cada dia que passa sinto mais nojo desse mundo.,0,1,
"Homem de caráter = Homem que usa dinheiro pra pagar as borradas delas na vida.Mas pelo jeito, elas não tiveram muito caráter pra evitar sair dando vida a fora, né ?",1,1,"Claramente misógino pois invalida mulheres segundo sua ""promiscuidade"""
"Vdd, as vezes esse canal ensina cada besteira viu",0,1,"Sempre que tem algo negativo (crítica) eu geralmente avalio como tóxico - a não ser que seja uma crítica construtiva sobre algo que, de fato, é politicamente incorreto, nesses casos, eu deixo como neutro"
Pra a mulher da o número deve ser solteira,0,0,
"Não tem TPM, não engravida e gosta de homem (sim, mulher gosta é de dinheiro). Eu o entendo perfeitamente.",1,1,
De que homens ele ta falando? Me da a localização desse homem...Eu amo toque e os relacionamentos q tive eu sempre carinhosa prestativa cuidava dava atenção...mas prefere a rua a ex q traiu etc,0,0,
