Palavra,Importancia_Total
mulher,58.89338098947807
pra,50.59991060352087
homem,42.56441252723862
vai,39.5654669619386
cara,37.53641364031869
mulheres,36.17596471978087
ta,32.16023918186076
homens,31.06424433059911
vc,29.88368867119752
ai,28.43530162166232
tudo,24.58773894687456
deus,24.38521098658839
assim,24.200437892032415
vida,23.312217451301716
ter,23.227434479618395
nada,22.84507804322672
bem,22.104153838101368
ainda,21.86514622742194
sim,21.482591454854035
nunca,21.14904235896702
pode,20.739010247191967
porque,20.583300949607022
quer,19.588242938848786
verdade,18.92443816223352
casa,18.872257268061443
bom,18.135033823343683
sempre,18.048535380026173
dia,17.875476972639333
anos,17.617597833389667
faz,17.464440807701347
pessoas,17.332189753860057
pai,16.90981517344084
hoje,16.852759870751047
fazer,16.73002110801503
filhos,16.18549582851927
ficar,15.556816012088245
todo,15.527609719854796
melhor,15.480954937078765
mae,15.266491360148537
dinheiro,15.107649364306228
agora,14.833373060966794
video,14.671670119585972
sabe,14.63391884104528
parabens,14.531055329725872
mundo,14.524455326817826
aqui,14.368445127251107
outro,14.313860559971141
tempo,14.129398041669567
coisa,14.067949488096353
marido,13.411848599951757
ninguem,13.31355635285911
la,13.286015365501452
gente,13.02798057668546
filho,12.772003504384955
kkkk,12.441415924768231
pessoa,12.410459196316298
acho,12.328358393146942
entao,12.280656545304165
ver,12.262254487826374
amor,12.123317227652894
desse,12.018974518082072
pq,11.85823629090596
outra,11.674880930426289
falar,11.654560100552382
todos,11.561808921164191
alguem,11.322228673103396
pois,11.30200397948136
dizer,11.284233817219588
fala,11.208296440229002
fica,11.149852680675322
precisa,11.070578757532438
pior,10.96135665891699
familia,10.906508093055647
disse,10.889741716405373
deve,10.692704697458161
hora,10.635122551925578
dar,10.545280543639008
tipo,10.543734798283435
dessa,10.534702483330822
certo,10.41332633995796
maioria,10.24116626157188
relacionamento,10.13888485233301
respeito,10.06341663146365
querem,10.038328253454567
valor,10.037952185864778
kkk,10.0009758054909
cada,9.9377667233529
falta,9.678887641055129
sei,9.553120619148453
falou,9.518364199431996
coisas,9.51685610717316
ir,9.512851298265455
muitas,9.47954101175784
mesma,9.221415909921989
vou,9.196766441991215
toda,9.192184166233783
onde,9.183410795869506
tao,9.137367858300301
quero,8.904316784334565
fez,8.837621087337618
jeito,8.834230131815067
vez,8.787407936321092
problema,8.775273432462772
vezes,8.774903688246578
brasil,8.742449267943378
pouco,8.732360918422529
canal,8.685137876883616
muita,8.681048411476826
muitos,8.609923458924351
sobre,8.60700453186515
carater,8.54453714102181
outros,8.472162605707053
parece,8.470749166350856
boa,8.43798111021254
to,8.433947443959859
existe,8.271898939123478
historia,8.254208665553582
mal,8.226157911906894
mim,8.222443109584693
qualquer,8.112227181565812
esposa,8.102980541764223
rapaz,8.027173948636339
tbm,7.982432032803485
pais,7.966149316546912
filha,7.9595344599318425
nome,7.93423575653977
kkkkk,7.911979896118915
cabeca,7.904048365959072
apenas,7.826130769580329
pro,7.713042021908926
pagar,7.6806547664081775
mano,7.62275983527619
facil,7.581767927872166
dificil,7.553704571513457
kkkkkk,7.504120955696804
menos,7.495060492104624
feliz,7.436969094542478
vao,7.414763247341668
casamento,7.379425958441881
pena,7.231276663147051
amigo,7.21309402596389
todas,7.208508582224776
algo,7.148059870057871
realmente,7.12965819296818
vcs,7.108339968368201
caso,7.098321226508533
concordo,7.0488010282535525
fim,7.047500060262939
grande,7.021624633016763
cuidado,6.998400186901539
parte,6.9841486014423255
ne,6.964432224622165
deu,6.955471153628045
meio,6.8705988176502775
antes,6.811845168061807
querer,6.794949225875268
falando,6.7886178246302284
gosta,6.779917917345511
culpa,6.778210258417827
viver,6.71389762295915
sendo,6.7012093335153375
caras,6.655210998962246
dois,6.615578010197757
achar,6.578081307636356
gosto,6.498396094008241
etc,6.423270845915404
estado,6.401054559320892
conta,6.335095418559319
vergonha,6.271907247170809
sair,6.249619390029581
proprio,6.209323995786329
outras,6.209087373993402
vem,6.194419834386469
igual,6.191177819997014
dentro,6.171208998630005
dessas,6.137888191592556
disso,6.07190520944631
demais,6.058139868743468
30,6.002849400396802
vi,5.963529781404505
abencoe,5.934943935821581
videos,5.934412999110843
acha,5.910742716152368
atencao,5.871004658537874
saber,5.860143279692131
tava,5.856460305959747
jesus,5.81308350346172
sozinho,5.801911049013859
olha,5.754006126950155
sabem,5.746692820751169
atras,5.697562776092116
kkkkkkk,5.639932190397334
tanto,5.635492386002792
ruim,5.623263961341946
paz,5.6103623605793596
algumas,5.592253504055582
serio,5.586163551528525
algum,5.56088116966222
infelizmente,5.514382903520223
vamos,5.508345762487509
entender,5.478980148943562
imagina,5.465839582360545
bonito,5.452917845537052
ajuda,5.428218585350128
gp,5.416953512611993
vale,5.41566587163033
certeza,5.412600091722107
real,5.407932861875554
trabalhar,5.386396697395793
nesse,5.346639531154377
merece,5.3382525980544795
presta,5.2929668318345335
trabalho,5.284577390720052
feminismo,5.254130511835749
lindo,5.229641565726146
chad,5.2197964448294245
casar,5.213845740529974
nenhum,5.203027027586759
pensao,5.20034403575121
maior,5.186362965214158
diz,5.144119432287538
dias,5.142062434820855
logo,5.12514962222567
alguma,5.1248580079929615
poder,5.112611117045692
simples,5.111715509710063
passar,5.110219560380369
fazendo,5.104134952331458
preco,5.1028626147153116
grana,5.073598674535384
quase,5.0379446311611815
deixa,5.010782977565039
viu,4.9986131394141005
linda,4.967598808890744
passa,4.962162727843518
fazem,4.95284508123615
ex,4.948758059874557
sai,4.926878381600998
trabalha,4.925303919500998
moca,4.900194855137922
irmao,4.889524298826332
pensar,4.880893656288595
mao,4.867625677464662
pobre,4.85774442935257
forma,4.856262478269473
realidade,4.85457004559275
quiser,4.844899813932684
10,4.816484052170822
chega,4.78236320801427
conversa,4.779694475050477
dai,4.747259570602486
deveria,4.739442653917925
levar,4.728540816008318
ah,4.7235627694520765
amigos,4.707074047106889
lei,4.682865118024801
lado,4.675296066085518
ama,4.671262967536805
sociedade,4.645158192828253
propria,4.641673809783058
porem,4.626654370774003
nessa,4.614669415451351
queria,4.6082145088382624
cima,4.5946109188479385
alem,4.562277853163633
idade,4.558663212782047
merda,4.554505222050241
terra,4.538727986254302
embora,4.4979417319841595
vejo,4.486955718789027
fato,4.462000501896
igreja,4.4598955878260975
ouvir,4.454180490110652
si,4.4414409122460885
ficam,4.4350762656866705
50,4.420280228621102
soldado,4.411073371884508
carro,4.409957420444361
comigo,4.361233032550333
acredito,4.352904229370748
20,4.326165849028987
correto,4.321871583747063
academia,4.318370109139644
contrario,4.313133714478189
problemas,4.297309210684494
chifre,4.295491035984597
certa,4.270272006184259
doenca,4.256774299095619
simplesmente,4.235753630986307
voltar,4.227845198705934
ia,4.212312282162581
quanto,4.209861027324581
medo,4.20984520319798
100,4.205924311562896
acaba,4.199785391404201
futuro,4.195292960709475
passado,4.1939948350812095
pegar,4.178393048325514
triste,4.145694140997438
sexo,4.143783285610158
exemplo,4.142386826296369
querendo,4.1267458347289265
youtube,4.1041589674425225
final,4.077093366110311
feito,4.058797154947823
palavras,4.04203025369105
conteudo,4.038458824171638
possivel,4.026032657937692
desde,4.012285459266292
valores,4.010525776828822
debate,4.006498793336174
chegar,4.003740085019858
justica,3.9944107785068628
casou,3.9849045137386683
geracao,3.9614260623995943
caminho,3.954485925910384
ambos,3.931545330921886
varias,3.9303507457959403
copini,3.924101531528978
duas,3.923557942034054
contra,3.9231283609521266
trouxa,3.914813841063347
frente,3.908370870932323
diferente,3.9041512038572717
legal,3.8823620285634513
consegue,3.8776372966177624
serve,3.8763268129305577
livramento,3.871273192438759
feministas,3.8710019797313144
pe,3.867389194738057
claro,3.8587007087927474
precisam,3.856804021353586
rico,3.8514700680011904
acham,3.8514117284743126
razao,3.850474235718843
pega,3.8428433492432346
paga,3.8412782509343857
causa,3.837356030732513
feminista,3.831465311279756
educacao,3.8265395142608547
comentario,3.8125511847050695
don,3.7910503333885024
sentido,3.76890797963264
principalmente,3.755835137431051
veio,3.748174409604338
entendi,3.7402085713437785
verdadeiro,3.739648889945399
red,3.736794981417902
super,3.732167703288766
palavra,3.7314256694440786
ve,3.726488251964773
luz,3.7157641435943516
prostituta,3.714089003184642
otario,3.70765490685873
primeiro,3.684591973839639
kk,3.683131647614163
tentar,3.6813277915635187
casal,3.6778285330780083
internet,3.6734495784052648
corno,3.669884292892167
exatamente,3.657935826355362
primeira,3.6524144839482346
enquanto,3.6418224915271025
padrinho,3.6309980210194666
reclama,3.6288794690796355
uns,3.6091179774582907
pura,3.5896841793460132
momento,3.57779071868507
vontade,3.5601765920288204
pronto,3.554946157232156
situacao,3.5484675344922207
pensei,3.543425278757721
hj,3.543241613762973
inferno,3.543155718190355
mora,3.541143648690701
leis,3.5304242420673
usa,3.511588768286323
errado,3.506561551345082
questao,3.5056527144846545
talvez,3.4941319789912098
nenhuma,3.4919922403736074
bonita,3.4904882065004554
inteligente,3.489457233904319
nocao,3.489379672127762
provavelmente,3.4882734096278005
lugar,3.462362968680573
preso,3.459188115195617
ficou,3.4555203759611928
rodada,3.4417957068907072
acontecer,3.440055112708991
dignissima,3.42858938535926
sandro,3.427183073708745
jovem,3.4260569183935483
segundo,3.4228790519565533
ano,3.4104651359839933
acabou,3.3979477704869123
monte,3.3964841857250714
fiquei,3.3913480560579408
cuidar,3.3882531371258673
senhor,3.385606285897511
motivo,3.381519998479922
falo,3.3786851248650698
dando,3.367522879237373
comer,3.3608559345034337
boca,3.324886627037321
poucos,3.313292291538962
chamar,3.296496598786055
aconteceu,3.285599774878006
mulherada,3.283425002201661
pau,3.2802198223723287
caro,3.2795442852190644
obrigado,3.2790896223050314
comprar,3.2760266795542914
podem,3.2747191569438465
proximo,3.273052721296105
criancas,3.27176138720546
comentarios,3.268114069962013
criar,3.2521465149475266
foda,3.2491024832115265
amiga,3.241837064192257
senhores,3.239220627182731
novo,3.228784470745172
seguir,3.22859515669251
precisamos,3.223840003970585
ponto,3.2227686711161163
sabendo,3.2099697990863536
amigas,3.1941485402976273
opiniao,3.184263226644309
ali,3.1826011620666526
tal,3.175395735647976
castigo,3.173777424865607
troca,3.172852845815898
solteiro,3.17134273433504
crianca,3.167418833997876
lamentavel,3.161554984036976
dizendo,3.153366922898052
falei,3.1512183582006994
depende,3.151001207997237
gostam,3.1457921666067055
plenamente,3.1383444204759834
achando,3.1300551049120005
golpe,3.1274464006830893
juntos,3.1235476260808563
oque,3.121742974073388
diria,3.1150624584211886
encontrar,3.107947475890064
saco,3.1072872781645176
forte,3.106964373223096
unica,3.1054430325266185
senhora,3.100557461026542
besta,3.090665154252385
basta,3.083698162665066
gustavo,3.0677360481721663
graca,3.064283672261571
funciona,3.0635008342576437
podcast,3.0623824525572925
ajudar,3.052880358539704
moro,3.0516817799653655
usar,3.050455051643734
kkkkkkkk,3.042463994280018
celular,3.040927083442437
papo,3.0343994489614876
virou,3.028477831312366
sabia,3.026734361463201
job,3.0117635685019746
nisso,3.010190225153402
importante,2.9944930181844955
crista,2.993280924844795
junto,2.9905958149948617
cidade,2.9869069871963783
tempos,2.9814858827542317
maquiagem,2.9775623330459347
tendo,2.975761993139672
resto,2.9728933097201695
maria,2.965628689242434
acontece,2.9650687559614295
esquerda,2.96032990805818
dor,2.959916133435863
mina,2.95410709301753
duvido,2.9465450140272242
importa,2.9388547102459084
social,2.937474975792835
noite,2.93151888793065
pessoal,2.9300904970073733
somente,2.9265969755983154
oq,2.925060424414359
distancia,2.9247941152936336
conhecer,2.9214559629143
enfim,2.9194201831285462
espero,2.9149545936502523
moral,2.9097282792278287
segue,2.9052731455565532
mil,2.8961975236715425
comecou,2.8930058587544094
relacao,2.8882925490802744
quis,2.8860623598932964
buscar,2.879441029242015
roupa,2.877890434390807
mau,2.8712371859223724
casada,2.857741315453547
volta,2.85589490996646
coloca,2.8479574488779686
traicao,2.847128289675657
dou,2.843480500442915
falam,2.842256070754433
https,2.8396756494646103
alto,2.8307236774726183
escolha,2.826124080077655
ganhar,2.8244348206934324
nele,2.819402536747146
entendeu,2.8071328882856137
sorte,2.8031738400021635
feio,2.802188915752602
olho,2.8020489482824744
chegou,2.7956145547423947
direita,2.7879737242836917
pedir,2.7828023611393697
literalmente,2.7816749299077905
divorcio,2.7809659331341745
olhar,2.774248065862963
perto,2.77380606355504
nivel,2.7730882952207123
povo,2.770468626722998
meses,2.76486658627353
pensando,2.7627204896134074
saiu,2.755766912362869
fique,2.755468647963167
direito,2.755265567940607
tirar,2.7542490886062505
chama,2.7510979007768577
pergunta,2.7437308647748333
alguns,2.743261147964704
nojo,2.7359120615341492
fico,2.732532643447108
vive,2.726858829373673
solteira,2.7231340476534767
fiz,2.722357361678395
ganhou,2.721640730482922
presente,2.717552744686535
tanta,2.7103457236357857
boas,2.7076256220422077
doida,2.703496630184803
dao,2.702131145663077
financeira,2.6996834580926063
continue,2.6978267375187133
conseguir,2.6975166683253904
msm,2.6971478733112053
agua,2.67957783953591
amo,2.6747970142080915
maluco,2.665609416988084
chifres,2.6655647522985477
cria,2.6639122084936977
prova,2.653103949471693
90,2.6527357709736266
bens,2.645331213759672
mostrar,2.643335679524209
acima,2.642352354279888
costas,2.6390291757391227
99,2.6375447714862763
dignidade,2.633333599512791
saude,2.6295365640389146
foto,2.6230906816631
consigo,2.6159451424511833
pegou,2.6137480803648576
papel,2.6088121869284837
epoca,2.6055592968876797
indo,2.5995021366946367
casem,2.5976778391119955
parar,2.5958926124390542
miqueias,2.595639445744925
sucesso,2.592922805173754
gado,2.5899660427635327
acredita,2.5884235616628097
favor,2.5836409562844374
arrumar,2.5830200255154407
absurdo,2.572427328843948
tomar,2.570100545543371
sinto,2.566493843541757
casado,2.565220961920967
porra,2.5641070939500112
conheco,2.5636492179992447
faco,2.560703609540442
necessidade,2.560371296027473
empresa,2.5471080350868274
pill,2.543016199553664
aceita,2.539520395590785
continuar,2.534711584765696
totalmente,2.5324157930647493
reais,2.531875978001141
prazer,2.523522787800201
unico,2.5200462184441847
sistema,2.5193413966714813
odio,2.518815451626529
natureza,2.5179201143738865
assisti,2.507891465230172
jamais,2.5027810283446152
base,2.501218513553233
relacionar,2.50099159102072
toma,2.5005563225025838
velho,2.4992402510722287
bebida,2.4983996761411866
entra,2.49647519256873
comportamento,2.4954908092013097
cristo,2.492337243477867
ue,2.4895882351756127
chave,2.488528557209182
separar,2.478509658093154
cheio,2.477211962012599
gracas,2.476209703550355
pede,2.4683195056083576
falsa,2.4583383903294473
conselho,2.45519953006639
resposta,2.4517811738235986
bons,2.4503696143011497
morar,2.449806020433568
coracao,2.44003215604066
amizade,2.4386633758472644
daqui,2.432433156633177
guerra,2.430989979531282
rsrs,2.4228875712581335
passei,2.421550271568032
serem,2.4208288356709584
brasileiros,2.4168945154895427
resumindo,2.41678938948814
iria,2.4110250863592957
esperando,2.4078245317760323
interessante,2.405824801562234
conhece,2.403066308476697
ira,2.4018445670746646
cuide,2.398768432682123
liberdade,2.393862083230853
entendo,2.3895817738461496
umas,2.389562657299744
cabelo,2.3862997420123793
maravilhoso,2.381402657396309
vira,2.3739318115129193
cristao,2.371440449878712
sexual,2.3706439995352757
sabedoria,2.369360004928339
mamae,2.3685133163388232
come,2.362168551853952
melhores,2.361505637078602
relacionamentos,2.3607190197835126
visao,2.359794706241704
lados,2.3433575053043105
voz,2.341931935184933
otimo,2.3400551198894797
irmaos,2.3380186441313633
carne,2.336010230222502
longe,2.328630258749186
cuida,2.3197543575694137
minimo,2.318072067477278
amante,2.3063153687128546
achei,2.305016747726528
sozinha,2.2852705301196834
mentira,2.2813994085104734
raiz,2.2812996654597106
tras,2.279091759579054
rede,2.275824760384122
colocar,2.2753536517199344
corpo,2.267887762719609
deixar,2.265557864348836
deixou,2.2632708982410885
vivem,2.262530760802088
inocente,2.259842860717067
esperar,2.2576043421051457
entrar,2.255976725513841
casei,2.251336869709288
ei,2.246813979008488
perder,2.244534192138339
coitado,2.2411803697128816
solteiros,2.2374368266293825
sustentar,2.236396805641503
merecem,2.235489305833989
esperto,2.2333648784907068
leva,2.224143848009025
excelente,2.2202895011142023
melhorar,2.2193262440074455
qdo,2.218387892380128
veia,2.2147087600717206
peguei,2.213535131953751
qualidade,2.2133119471309453
boy,2.2132299259638843
conhecimento,2.208010880796934
atitude,2.207346177252329
irma,2.2061984108932604
varios,2.193273344597349
estaria,2.193169814784432
tarde,2.1882844780787023
senao,2.1869733823153457
amem,2.180540855656074
perigo,2.1790170020529045
nova,2.178729564468076
comida,2.1675429542774474
procurar,2.1670036480565305
consequencias,2.1664957951012846
levou,2.166333443882197
fotos,2.1626426145463737
escolhas,2.1613421512790225
passando,2.161181443507574
engracado,2.1597545680526062
mercado,2.151076360505447
santo,2.15045632433652
reclamar,2.1340064716289024
ficando,2.12873993413279
interesseira,2.1259267058280567
passou,2.1232718458669226
chuva,2.1227778223133593
capitalismo,2.1177947874575564
kkkkkkkkkkkk,2.117344731983656
obvio,2.112068235292508
oxi,2.1113804910764182
vice,2.1085408582162026
mesmas,2.1083749668187157
sofrer,2.1003575094774196
ficaria,2.099518647984839
maximo,2.095009776084863
ze,2.0932674295048095
erro,2.0923156991682283
bicho,2.0914465796128816
chegando,2.0899485071774317
tipos,2.088713173491822
beleza,2.0854719921070113
faca,2.081193037561861
jogo,2.0796437100886167
viva,2.0776388411235613
casos,2.071560143846511
valeu,2.070341386907213
separacao,2.067890927799632
amam,2.0657667220119214
maes,2.0653541867921428
maos,2.05972503082526
diga,2.0511118572058495
daria,2.049783882441671
imagem,2.042732784916271
felizes,2.038424258341063
dizia,2.034531304921345
genero,2.0337776584623555
namorar,2.031191187525924
24,2.03090951537762
ridicula,2.0304763995103565
manda,2.029103111696974
perdido,2.0281173466867854
fa,2.027250256539644
burro,2.026646613754035
digo,2.0252235460528727
grupo,2.0220407924640558
risco,2.020893051632315
midia,2.018732417909835
procura,2.016660170016966
horas,2.016035942568383
percebe,2.0136106928216453
demonio,2.0133303194058665
ovo,2.0105274391877135
premio,2.005693496067761
fiquem,2.003656056288439
tantas,1.9991953728663454
bunda,1.9982370662839124
desses,1.9955010525358903
emprego,1.9924347912704166
vindo,1.992250375734135
bola,1.991956924359223
luxo,1.9798614036989062
companhia,1.9795034682373398
sul,1.9755440430127742
corre,1.973946486752271
avo,1.9712478806598988
pt,1.9685331769917758
masculino,1.9685003107474166
impossivel,1.959521559897178
perdeu,1.9588778359769248
msol,1.9555315202782912
perdoa,1.953554882005231
mi,1.9528873440824375
olhos,1.9524760375415289
esqueceu,1.9513730813936299
tomando,1.9499861513792864
macho,1.9467233589221948
beber,1.9454915726101207
assedio,1.9437064108699758
afinal,1.940397449588603
canalha,1.936461140906206
cartao,1.9351151251067864
prefiro,1.9348228109364043
mente,1.9341675648436973
via,1.9338256050777043
sido,1.9318362390217168
novinhas,1.9307415944654975
vulgar,1.9305013309867818
pqp,1.9284103542047777
brincadeira,1.925773249700642
crime,1.9219308789088596
conselhos,1.9219216467715448
der,1.9196186098418642
feminino,1.9170867428044764
menino,1.9170015624294439
nariz,1.9167813857154126
bastante,1.9144368630396698
acusacao,1.9085977413785085
ceu,1.8963901173382463
fortes,1.8937270227288654
forcas,1.890270091685101
emocao,1.8897213702996083
presa,1.8875273134997792
miqueinha,1.886918200385217
agradar,1.8867430939146856
ana,1.886010842202713
guerreiro,1.885684046620272
pastor,1.8848917685805078
aguentar,1.8847090261497776
sujeito,1.883935715680649
poderia,1.8836763468741604
esposo,1.882643328866898
gostei,1.8826124601395935
humanos,1.8822645570903134
errou,1.8803948475466614
sinceramente,1.8781846856256825
sinais,1.8754269906650578
usou,1.8743019472984919
hipocrisia,1.8730642721225645
inteiro,1.8715843832514465
salve,1.8702439149609988
40,1.8630932712310195
quantidade,1.8602803390894906
espirito,1.8598393162304239
caralho,1.8595044237665057
devem,1.8592510599656664
prostituicao,1.8567876833687595
enzo,1.85519053558282
nela,1.8544297375623338
livrou,1.8540054306037337
louca,1.8537623602552196
contas,1.8536866773824983
ruins,1.8496681998804163
ouvi,1.8480254407836145
