Palavra,Importancia_Total
mulher,80.81289358645073
homem,56.02217353153376
mulheres,49.67170207491813
homens,42.14788755004957
vida,30.565467140994535
deus,30.301698260607868
casa,25.85446498130042
verdade,24.590852334157656
bom,23.8001403707366
video,22.387742872433037
filhos,21.178372025465656
pai,20.86420155218469
dinheiro,20.793028933104278
mundo,20.48266569128473
mae,19.508140237082877
tempo,18.84980154584194
ninguem,18.056648568891262
marido,17.54590107826884
parabens,17.278277585653143
filho,16.82974489530389
pessoa,15.888124429495006
alguem,15.173002030919493
amor,15.096135597992264
relacionamento,14.702017462554062
valor,13.421015540500386
familia,13.411804916542879
respeito,12.750537319962007
certo,12.727756574425234
carater,12.57434163736514
brasil,12.058574257918817
problema,11.359954652705701
jeito,11.215280920067443
canal,11.177251288582049
boa,10.900706913946502
historia,10.287403966233736
filha,10.12972950179621
rapaz,10.063756186168732
cabeca,9.907103100308317
pagar,9.731085881697107
facil,9.689012006830009
feliz,9.600071826399901
esposa,9.588775475088893
pais,9.51394340906084
casamento,9.38879926777391
dificil,9.246751610846466
cuidado,9.193917225479858
viver,9.042667027822887
caras,9.02658243455535
pena,8.833428265434117
grande,8.61335155170894
culpa,8.576605956661156
concordo,8.21105817316529
conta,8.117579155066277
videos,8.093782535364529
vergonha,8.021985667442959
estado,7.7720177801309465
sozinho,7.576254637624686
ruim,7.523807997434554
serio,7.515240052631138
jesus,7.448404759736521
atencao,7.349326971630578
gp,7.184101082911124
infelizmente,7.166430974882045
paz,7.155556120656993
certeza,7.137264211221206
30,7.095037113050382
mao,6.856937481265041
abencoe,6.822836642361715
dias,6.7778328181604035
imagina,6.772129224296797
ajuda,6.763048471228263
presta,6.7313702628155285
simples,6.7016279336207365
real,6.70009124730327
casar,6.669627652504182
feminismo,6.6649678305849545
ex,6.61844740652031
bonito,6.528839435819388
vale,6.466711822616275
merece,6.455579720217551
conversa,6.431201315635199
chad,6.342651242335678
linda,6.321451456971671
pensao,6.273477905153031
irmao,6.266035652013679
merda,6.264196714049482
grana,6.2144125702338116
dai,6.213751857847926
doenca,6.210508078961313
pobre,6.19422115241005
lei,6.13807166644973
trabalha,6.123815437276761
idade,6.080522131544279
moca,6.079184734078544
10,6.0771911185440155
amigos,6.048470236688268
ama,6.0382434447291935
realidade,6.016927617357831
lindo,6.010165402123211
preco,5.811204716217393
sociedade,5.783781931559863
50,5.772628450038128
levar,5.741037864298526
fato,5.694884324159522
ouvir,5.665703069411049
100,5.600014970058469
chifre,5.584077229421861
academia,5.554844279051168
copini,5.535134070381125
problemas,5.528583868531799
igreja,5.52405570575634
carro,5.503224481295393
trouxa,5.466980534897591
sexo,5.460224436436658
triste,5.449695797860143
contrario,5.411133637282908
medo,5.404251773911501
correto,5.332490622662894
casou,5.321485050197245
futuro,5.31872950764278
20,5.314051948441424
otario,5.302424154289946
certa,5.2704666536356575
terra,5.2386568695632345
livramento,5.201580977046846
youtube,5.19907147087683
feminista,5.1897397233817655
soldado,5.00627179063126
passado,5.002966309712158
comentario,4.987921979932421
palavras,4.978213435809236
razao,4.943429150713682
red,4.939605521870227
conteudo,4.923158069382928
preso,4.914838834613289
caminho,4.895161868672657
debate,4.887554076239121
prostituta,4.878900563293074
pe,4.844339161165962
pura,4.82962515446039
sentido,4.804440869825142
rico,4.770254964625899
situacao,4.730747053695077
geracao,4.710062401580811
causa,4.702221970971791
leis,4.700639701154973
ambos,4.693648151264446
valores,4.678083646457124
rodada,4.668764352000902
verdadeiro,4.660808880898587
paga,4.6579485536943
reclama,4.655161400705271
motivo,4.64345801480871
justica,4.633881064493838
bonita,4.624691037389071
padrinho,4.624685954892246
comentarios,4.619275451674177
comer,4.592862042425791
educacao,4.586898928273262
corno,4.544445004441076
casal,4.520866338160051
mulherada,4.511193647684791
mora,4.498253384422132
cuidar,4.487030906580837
feministas,4.459893986149405
errado,4.429774463154571
palavra,4.418580001954599
internet,4.411248519747844
don,4.410769734448456
inteligente,4.404547221122987
chamar,4.403042346617321
luz,4.381477265026976
vontade,4.3712036420314
amigas,4.3476333649581145
foda,4.324778546839199
jovem,4.287684099653902
criancas,4.282827895786497
dignissima,4.279005512024231
super,4.277787124609221
castigo,4.267855718353576
comprar,4.249717946620925
boca,4.234010687133533
pronto,4.226760508229975
celular,4.207261084919854
depende,4.148213302129589
opiniao,4.110811491643092
nocao,4.107734934722306
moro,4.068523604077938
maquiagem,4.068244635436832
senhor,4.061254240147998
pau,4.056881401385993
cidade,4.048898911512457
funciona,4.045956077048116
criar,4.045206732937325
inferno,4.037287101922842
ajudar,3.9974738369985037
job,3.992757946479864
troca,3.985516424752033
lamentavel,3.9640779287592203
sandro,3.9614781068305343
juntos,3.955823270684053
caro,3.9458257184476033
golpe,3.933968058327006
solteiro,3.89152232915064
diria,3.891368551954288
traicao,3.887799982702464
social,3.8859869974764343
moral,3.8785972551507433
direito,3.8760239222382555
forte,3.8411398982318707
roupa,3.833002550509762
favor,3.8309648380031702
importa,3.8171220161833874
senhores,3.8072912865340043
financeira,3.8045092053585696
feio,3.800302894399655
senhora,3.799647283901413
