Palavra,Importancia_Total
de,134.19703152418703
com,118.90920923823967
https,114.96634804023337
que,106.68850803134839
homem,93.27598656118376
do,82.25023741367623
se,81.9780795048362
antiotario,79.51578737566292
nao,78.21180279458926
mulher,72.6096275566653
no,71.14919135689871
para,64.22374426347747
um,61.3497026969261
video,57.38619069965881
masculino,54.786697207770615
grupo,54.59943695159668
licoes,54.450511687436666
relacionamento,53.353113824263325
canal,51.564610344222345
red,51.492995563787396
hotm,51.26017828735875
art,51.23282405421126
homens,50.39407607113553
entrada,48.919885073501725
apenas,48.55578068039381
mais,48.513505150970765
flags,48.46003877508759
perpetuas,47.999783452306154
antiporn,47.999783452306154
comeco,47.97939173781216
voce,47.96686750646204
privadoesse,47.84471516226617
www,47.41080257547146
como,43.40683292576964
shorts,42.03706541322784
instagram,41.981385964273805
sua,41.77707557616087
homemdevalor,40.49356082277041
combomanual,39.74683306852859
codigo,39.478171992410324
amor,39.218649705537516
da,38.71185020830673
as,38.501631593710535
vamos,37.0250474731159
por,36.317771191829216
livro,36.03264427484126
os,35.354797904960606
uma,34.608376860209454
mulheres,33.824281419262064
schutz,33.352885604426874
motivacao,33.0990964256266
thiago,32.862199813381416
em,32.07011739372383
nosso,31.93039492246559
ela,31.304470034101623
seducao,31.057647858749128
br,30.137779990340146
ser,29.735936067786074
reflexao,29.338844081873805
seja,29.200894409703878
bem,29.092541819360132
homemmoderno,28.681781213790767
seu,28.58566036004991
like,28.515833711628435
youtube,27.945883675514064
deixar,26.027302286829308
perder,25.794226116109602
nenhum,25.762438816317648
sobre,25.611574829862096
alem,25.509080616640446
disso,25.46668886545962
inscrever,25.452247199839203
esqueca,25.411964861949283
redpillbrasil,25.074203932440923
sininho,24.91231403484831
ele,24.827481877149285
notificacoes,24.81433596463056
ative,24.691452810823357
redpill,24.684283746938476
casamento,24.612938199546633
vindo,24.58299680140318
me,24.160201495373222
amzn,23.98112545398726
to,23.979625459610535
te,23.971947796539105
rafaelaires,23.892330248338443
namoro,23.86036706797832
vida,23.502873148617866
tem,23.45744340936125
hoje,23.300105808514097
esse,23.087720366085993
meu,23.082097638161944
na,22.73173589535583
masculinidade,22.45692333320163
eu,21.932005844919892
youtu,21.770302821768766
be,21.734118381208003
casal,21.297196372881093
marido,21.09136243819049
elas,21.00818325479484
adquira,20.918032644959307
pra,20.842727343685816
comecar,20.707155366706935
parte,19.48881660404782
quer,19.488436126012758
antiotariopro,19.449362293572534
faca,19.37109716620464
pessoal,19.184336133191685
opiniao,18.97810601663293
qual,18.845018989732413
casamentonapraia,18.83407668704202
desenvolvimento,18.80440068695221
isso,18.756594734442977
quando,18.70403562762362
fabricioacunha,18.692697692540648
falar,18.607505197481412
