Palavra,Importancia_Total
https,124.7623146191448
homem,102.34813265380626
antiotario,89.10134913568231
mulher,80.58659051907499
video,64.76367694501391
grupo,60.33108578126981
licoes,60.156799549989024
masculino,58.669044304395825
relacionamento,57.66207839640289
canal,57.559771925088675
homens,57.13827665579545
red,56.002062843714334
hotm,55.96131442448634
art,55.931933229380036
entrada,53.01376855107821
apenas,52.84580805759221
flags,52.50072771998494
comeco,52.00913147374271
antiporn,52.009070477471546
perpetuas,52.009070477471546
www,51.9405251800146
privadoesse,51.84970630027674
instagram,45.25072949514095
shorts,44.65254939606331
combomanual,43.1184347769492
homemdevalor,42.77914465311966
codigo,42.73876249565169
livro,42.15347498614503
amor,42.030631069797195
vamos,41.55169261153721
mulheres,38.58729712287934
schutz,35.75590222763992
motivacao,35.43268979636092
thiago,35.2159436760677
br,32.949850590985655
bem,32.65121525343362
seducao,32.47315331891733
like,31.93232183953774
reflexao,31.27484567262605
homemmoderno,30.899684379273015
youtube,30.624374995570694
deixar,29.32365322728358
perder,29.061252440122175
nenhum,28.88148033637258
alem,28.66357861379582
sobre,28.646328486130944
inscrever,28.57383913294443
disso,28.568152338547613
esqueca,28.52464437873917
sininho,27.978527478162377
notificacoes,27.88141428802954
ative,27.76734049454017
vindo,27.520179109060205
rafaelaires,27.08613457523143
redpillbrasil,26.996375374420467
redpill,26.972004726966116
casamento,26.369967661343765
hoje,26.209954525452698
vida,25.668222666732976
youtu,25.26807815622304
be,25.22146076634888
namoro,24.965610876040902
adquira,24.62843217302032
marido,24.54886099367648
to,24.47931782086715
amzn,24.41221448972678
comecar,23.32123258788127
masculinidade,23.2843974931011
parte,22.839066684579596
pra,22.800586951739902
faca,22.766193021486078
pessoal,22.087779938169184
quer,21.90042783732261
casal,21.864395975502582
desenvolvimento,21.693160592493236
opiniao,21.5359956562653
privado,21.52837448416702
vai,21.11036913204924
antiotariopro,21.092877602777317
pais,20.774660515715023
falar,20.713390111807644
fazer,20.577378113765757
miqueinha,20.001159113684626
ola,19.994508151965984
feito,19.962057900373356
evitar,19.85590301213904
domine,19.742738006545494
homemdealtovalor,19.62299852543298
fabricioacunha,19.475550330857512
metodo,19.411273444957576
casamentonapraia,19.19306188278105
vendido,18.937631722382648
vsm,18.916111373478177
nunca,18.506712802613908
link,18.41452108556886
manualantiotario,18.403396468937217
valor,18.31362327143444
imperiocombo,18.304136061311645
bit,17.133644308197983
ly,17.133644308197983
redcast,17.088917617180275
ex,17.03197673796647
macho,16.923605303617705
relacionamentos,16.705378371993135
conquistarmulheres,16.27229394320271
agora,16.141261062050013
cortespodcast,15.964086896187787
porque,15.764548088707858
conquistarmulher,15.517896109285298
machoalfa,15.367355265425081
reconquistar,15.296012145503829
memes,15.25681044419249
machomacho,15.193591936386644
conquistarumamor,15.193591936386644
namorosafado,15.193591936386644
fabricioacunhamentor,15.193591936386644
redpilled,15.193591936386644
namorada,15.130455481947708
humor,15.023712407723442
melhor,14.902681445322235
