text,toxicidade_amanda,cat_toxico_amanda,misoginia_amanda,cat_misoginia_amanda,toxicidade_livia,cat_toxico_livia,misoginia_livia,cat_misoginia_livia,toxicidade_sophia,cat_toxico_sophia,misoginia_sophia,cat_misoginia_sophia
"@  tá vendo que relato padrinho, que essas pilantras são capazes de aprontar, quem não ouvir seus conselhos vai pra sarjeta, enquanto a pilantras vai tá sentando em várias mandiocas",1.0,1.4,1.0,2.1,1.0,1.3,1.0,2.1,1.0,1.3,1.0,3.1
Venha logo asteroide e acaba com essa humanidade doentia e nojenta. Tudo por grana e fama!,1.0,1.6,0.0,0.0,1.0,1.6,0.0,0.0,1.0,1.6,0.0,0.0
"UM mentiroso isso sim porque o ferimento no braço da Ana, todo mundo que assistiu o Programa apresentado pela Ana na Record viu muito bem o braço dela FERIDOA",1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
Porque sera que nao me assusto com isso nos dias de hoje 😮,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1.0,1.3,1.0,2.1,1.0,1.3,1.0,2.1,0.0,0,0.0,0.0
"sempre é assim quando é pego começa chorar kkkkkk, e ainda culpa os homens é brincadeira absurdo",1.0,1.3,1.0,2.1,1.0,1.3,1.0,2.1,0.0,0,0.0,0.0
"A hipocrisia feminina, como sempre, é muito fácil de se demonstrar. Basta apenas que um homem fizesse algo parecido em relação às despesas de casa e dizer:""Não sou teu pai."" A chuva de ódio feminino em relação ao sujeito seria simplesmente INTERMINÁVEL. Obrigado pelos bons conselhos de sempre, Padrinho.",1.0,1.3,1.0,2.1,1.0,1.3,1.0,2.2,1.0,1.2,1.0,2.1
A história da chave e do cadeado,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"@ -et8so ele não combina, só pede permissão antes de gravar kkkkkk",0.0,0,0.0,0.0,1.0,1.1,0.0,0.0,0.0,0,0.0,0.0
Imagina aguentar essa doida berrando no teu ouvido todo santo dia.,1.0,1.3,1.0,2.1,1.0,1.4,1.0,3.1,1.0,1.4,1.0,2.2
"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",1.0,1.3,1.0,2.1,1.0,1.3,1.0,3.1,1.0,1.4,1.0,3.1
"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",0.0,0,1.0,3.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Eu concordo! Não estou falando de educação respeitosa, mas sim onde os pais sabem se posicionar e mostrar autoridade, e realmente educar e preparar seus filhos para essa selva que chamamos de ""viver em sociedade"" kkk",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
A conta chega. Zuou como se não houvesse amanhã. Só que o amanhã chegou.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Isso não é verdade, tem mulheres honradas sim. Eu me converti criança e graças a Deus nunca fiz coisas erradas. Peco porque perfeição só em Jesus, mas nunca fiz sexo de nenhuma forma com ninguém, me guardo para meu futuro esposo. Tento ser uma pessoa melhor a cada dia. Não generalizem, assim como tem mulheres que não prestam, tem muitos homens também. Contudo, ainda tem pessoas de valor.",0.0,0,0.0,0.0,0.0,0,1.0,3.3,0.0,0,1.0,3.3
O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Cara que pega mulher casada tem que ter consciência que um dia a conta pode chegar e tenho até o valor e os valores são 38.  380  ponto 40 ou outros calibres então tomem cuidado,1.0,1.6,0.0,0.0,1.0,1.6,0.0,0.0,1.0,1.6,0.0,0.0
"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",1.0,1.3,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
Ele tava possuído pelo 9 CASCOS do PT,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
"Muita falta, jamais viveria sem meu pai, meu marido e meu filho. Os homens da minha vida são tudo para mim, juntamente com a minha mamãe.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Olha se envolver com uma msol talvez já deu certo no passado mais agora com essa intoxicação feminista elas são as piores pq tem os filhos que podem ser usados na socioafetiva pra prejudicar os caras eu vi uma matéria que no Brasil o reconhecimento da paternidade socioafetiva cresceu 22% cuidado senhores,1.0,1.3,1.0,2.1,1.0,1.3,1.0,3.1,1.0,1.2,1.0,3.1
"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",1.0,1.3,1.0,2.3,1.0,1.5,0.0,0.0,1.0,1.5,0.0,0.0
"Também não precisa acabar com a raça de vocês,por causa de algumas  loucas",1.0,1.4,1.0,2.1,1.0,1.2,1.0,3.1,1.0,1.3,1.0,3.1
"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Meu pai um dia me disse nunca coloque um anel de brilhante em uma mão lisa, e cuidado com o sorriso das feras.",1.0,3.2,1.0,3.2,0.0,0,0.0,0.0,0.0,0,0.0,0.0
O que tenho a dizer é: 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
tapa na cara aqui no Brasil só se auferido por uma mulher 😅,0.0,0,0.0,0.0,1.0,1.3,1.0,2.1,0.0,0,0.0,0.0
"Vce tem uma certa razão,mas o ppr que disso? Homem ganha melhor que a mulher,e  as outras solteiras dão em cima mesmo...",1.0,1.3,1.0,2.1,1.0,1.3,1.0,3.2,1.0,3.2,1.0,2.1
"Acho q sou beta ceboso, tenho fobia social e percebo q isso me distância das pessoas, principalmente mulheres enfim tbm sou beta nerd sou terrível em esportes e sou calvo , gosto de falar de filmes, séries,animes e teorias da conspiração.Infelizmente isso é pouco a atraente para as minas",0.0,0,0.0,0.0,0.0,0,1.0,3.3,0.0,0,0.0,0.0
Concordo com você...Conselhos bons para a realidade da maioria do povo.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Tinha que ter feito o serviço completo e terminado tudo ali. Ao ficar, você deu tempo para ela se vingar de você depois causando mais danos ainda.",1.0,1.6,1.0,4.1,1.0,1.6,1.0,1.2,0.0,0,0.0,0.0
Parabéns pela sua atitude...Um homem de alto valor não fica sem trabalho porque quer.As fazes da vida chega pra todos... não importa se é homem ou mulher.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",1.0,1.2,1.0,2.1,1.0,3.1,1.0,2.2,1.0,1.2,1.0,3.1
"Esquece, esses caras querem fica bonito na mídia, a legítima defesa ela não pode coexistir com o monopólio da violência estatal. Vc  não tem direito e sim concessão estatal.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Eu fui traída filha sempre fui uma mulher legal,0.0,0,0.0,0.0,0.0,0,1.0,3.3,0.0,0,0.0,0.0
Só tem aparênciaNem toda gp faz isso,0.0,0,1.0,2.1,0.0,0,1.0,3.4,0.0,0,0.0,0.0
Deu no G1 que o Moreno Tatuado já está fazendo um regime e malhando os braços,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Terrorismo na veia de homens que não sabem quem são, não sabem viver...",0.0,0,0.0,0.0,1.0,1.3,0.0,0.0,0.0,0,0.0,0.0
Ter marido sem caráter muito melhor fica só eles não melhoram não só perca de tempo !,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.4,0.0,0.0
"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,1.0,3.1
"Surreal bróder, mas essas pessoas que ganham muito dinheiro de maneira repentina acabam não tendo estrutura psicológica e emocional pra fazer bom uso do patrimônio.",0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,3.2,0.0,0.0
"Nunca vi tanto fracassado em uma sessão de comentários, só não é mais fracassado de quem fez o video",1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0,1.0,1.4,0.0,0.0
"Enquanto isso, o Vilela do inteligência limitada quer chamar o bonzinho do Edu Guedes. AFF.",1.0,1.4.,0.0,0.0,0.0,0,0.0,0.0,1.0,1.4,0.0,0.0
O pessoal criticando ela sem ter a consciência de que a vida é  dela e faz o quê  quer.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
"Chegando lá,vai deitar e dormir😂",0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Bora traduzir porque tá veia .Frescura pra falar o óbvio.,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.4,0.0,0.0
