id_video_anonimizado,text,discordancia_misoginia,discordancia_toxicidade,misoginia_1,misoginia_2,misoginia_3,categoria_misoginia_1,categoria_misoginia_2,categoria_misoginia_3,toxicidade_1,toxicidade_2,toxicidade_3,categoria_toxicidade_1,categoria_toxicidade_2,categoria_toxicidade_3
video_100,"Como deixar um homem louco por você #conquistaramor #amor #sedução #homem #conquistarumhomem ✅Quer DESTRAVAR a sua vida afetiva definitivamente?👇LINK: https://pay.kiwify.com.br/hEskh2i✅GUIA DA MULHER AUTOCONFIANTEhttps://karinefloriana.com.br/✅E-BOOK: GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMAhttps://pay.kiwify.com.br/SIiljFS💎Comunidade Mulher Autoconfiante-Receba dicas no Telegramhttps://t.me/+gvhTCF_GHEA2Y2QxNeste vídeo eu vou te ensinar a como conquistar um homem , como deixar um homem louco por você, como deixar ele obcecado por você. Você vai aprender uma técnica infalível para deixar ele completamente apaixonado e cheio de amor por você. com essa técnica você vai envolver e seduzir qualquer homem.📌 Descubra como destravar sua vida afetiva! Acesse o programa Destrava-se para o Amor e faça um teste exclusivo para identificar o que está bloqueando você. Clique no link no primeiro comentário fixado ou na descrição e comece hoje mesmo sua transformação.🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤ COMO CONQUISTAR UM RELACIONAMENTO SAUDÁVEL🚨Videos que também podem te ajudar🚨➤COMO DEIXAR UM HOMEM OBCECADO POR VOCÊ EM 6 PASSOS. AULA 1https://youtu.be/BZfEiq2sMpQ➤COMO CONQUISTAR UM HOMEM COM 4 ATITUDES? FAÇA ELE TE DESEJARhttps://youtu.be/dQBLREVfOmE➤COMO SE TORNAR EXTREMAMENTE ATRAENTE SEM ESFORÇOhttps://youtu.be/kzXwcEa2hOs➤TIPO DE MULHERES SOLTEIRAS QUE OS HOMENS NÃO GOSTAM -MULHERES DESINTERESSANTEShttps://youtu.be/NGwbYWizVjU➤COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTEhttps://youtu.be/DchFUqCx9TY➤COMO FAZER UM HOMEM FICAR INTERESSADO POR VOCÊ RAPIDAMENTE- DEIXE ELE APAIXONADOhttps://youtu.be/NsNIPOcIab0➤COMO CHAMAR A ATENÇÃO DE UM HOMEM?  FAÇA DIFERENTEhttps://youtu.be/6wvEfgkfwTI===========================================================🔴 #relacionamento #relacionamentoamoroso #comoconquistarumhomem #conquista #RelacionamentoSaudável #RelacionamentoAmoroso #ComoConquistarUmHomem #ComoTerUmRelacionamentoSaudável #ComoConseguirUmRelacionamento #ComoLidarComUmRelacionamento🔻Me Encontre nas Redes Sociais🔻📸Instagram➤https://www.instagram.com/karinefloriana/📸Tiktok➤http://www.tiktok.com/ 🎬YouTube➤https://www.youtube.com/ 📸Linkedin➤www.linkedin.com/in/karinefloriana📸KWAI➤ https://kwai-video.com/u/ /n8XhvCfK",True,True,1,0,1,3.2,0,4.1,0,0,1,0.0,0.0,3.2
video_10009,3 tipos de mulheres que o homem nunca deve namorar #sedução #conquistar #namoro #namorar #solteiros,False,True,1,1,1,3.2,3.1,4.1,0,0,1,0.0,0.0,1.3
video_1001,Só casa com mulher linda por que será? #homem #homens #homemdevalor #homemmoderno #motivação,True,False,0,0,1,0.0,0,3.3,0,0,0,0.0,0.0,30.12
video_10114,AS LEIS DEFENDEM AS MULHERES #relacionamento #namoro #casamentonapraia #casal #masculino #macho #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem,False,True,1,1,1,4.2,4.2,4.2,1,0,1,3.2,0.0,3.2
video_10139,"Mulher Fica Mais Feliz Com Homem Mais Velho? A Verdade Você já se perguntou por que muitas mulheres preferem homens mais velhos? Neste vídeo, vamos explorar os motivos que fazem muitas mulheres se sentirem mais felizes ao lado de parceiros mais experientes. Será a maturidade e estabilidade a chave para o sucesso no relacionamento? Venha descobrir! #Relacionamento #MulherFeliz #HomensMaisVelhos #Psicologia #Maturidade",True,True,0,1,1,0.0,2.1,2.1,0,1,1,0.0,1.3,1.3
video_10147,"A verdade por trás dos posts sensuais! | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",True,True,1,0,0,2.1,0,30.12,1,0,1,1.3,0.0,3.2
video_10157,Mulheres Israelitas 🎯😍,True,False,0,1,1,0.0,3.1,3.1,0,0,0,0.0,0.0,0
video_10179,"Em menos de 1 ano de separado consegui uma moto e mn casa, e a ex tá no fnd do poço e grávida 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo",True,True,1,0,0,2.1,0,0.0,0,1,1,0.0,1.1,1.1
video_10198,Se você não depender do seu marido você vai se acabar 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,False,True,1,1,1,3.2,2.1,2.1,0,1,1,0.0,3.1,3.1
video_10214,As gordinhas são especiais? | Thiago Schutz #shorts #reflexão #emagrecimento #amor #relacionamento,True,True,1,0,1,3.3,0,4.1,0,1,1,0.0,2.1,2.1
