id_video_anonimizado,text,apresenta misoginia (0/1),apresenta toxicidade (0/1)
video_11283,MULHER NAO AGUENTA OS NOVINHOS #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem #shorts,,
video_12812,"3 ATITUDES QUE FAZEM O FICANTE TE ASSUMIR RAPIDAMENTE ✅Quer DESTRAVAR a sua vida afetiva definitivamente?👇LINK: https://pay.kiwify.com.br/hEskh2i✅GUIA DA MULHER AUTOCONFIANTEhttps://karinefloriana.com.br/✅E-BOOK: GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMAhttps://pay.kiwify.com.br/SIiljFS📸Instagram➤https://www.instagram.com/karinefloriana/💎Comunidade Mulher Autoconfiante-Receba dicas no Telegramhttps://t.me/+gvhTCF_GHEA2Y2Qx✅ 3 ATITUDES QUE FAZEM O FICANTE TE ASSUMIR RAPIDAMENTE 💍💘Cansada de ficar ficando e quer saber como fazer o ficante te assumir de vez? Neste vídeo, você vai aprender 3 atitudes certeiras que fazem um homem parar de enrolar e finalmente te enxergar como a mulher certa para um namoro sério.Descubra o que fazer para um homem te assumir, como fazer ele te pedir em namoro, e as dicas para fazer um ficante te assumir sem precisar pressionar ou perder sua essência. Quando você muda a forma de se posicionar, tudo muda.Se você quer deixar de ser apenas uma opção e passar a ser prioridade, essas atitudes vão te ajudar a conquistar o espaço que você merece em um relacionamento saudável.🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤3 ATITUDES QUE FAZEM O FICANTE TE ASSUMIR RAPIDAMENTEhttps://youtu.be/ftNoQrKqeTY🚨Videos que também podem te ajudar🚨➤COMO DEIXAR UM HOMEM OBCECADO POR VOCÊ EM 6 PASSOS. AULA 1https://youtu.be/BZfEiq2sMpQ➤COMO CONQUISTAR UM HOMEM COM 4 ATITUDES? FAÇA ELE TE DESEJARhttps://youtu.be/dQBLREVfOmE➤COMO SE TORNAR EXTREMAMENTE ATRAENTE SEM ESFORÇOhttps://youtu.be/kzXwcEa2hOs➤TIPO DE MULHERES SOLTEIRAS QUE OS HOMENS NÃO GOSTAM -MULHERES DESINTERESSANTEShttps://youtu.be/NGwbYWizVjU➤COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTEhttps://youtu.be/DchFUqCx9TY➤COMO FAZER UM HOMEM FICAR INTERESSADO POR VOCÊ RAPIDAMENTE- DEIXE ELE APAIXONADOhttps://youtu.be/NsNIPOcIab0➤COMO CHAMAR A ATENÇÃO DE UM HOMEM?  FAÇA DIFERENTEhttps://youtu.be/6wvEfgkfwTI===========================================================🔴 #relacionamento #relacionamentoamoroso #comoconquistarumhomem #conquista #Relacionamento #RelacionamentoAmoroso #ComoConquistarUmHomem #RelacionamentoSaudável #Namoro #QueroNamorar #ComoFazerOFicanteMeAssumir #ComoFazerEleMeAssumir #DicasParaFazerUmFicanteMeAssumir #OFicanteVaiTeAssumir #ComoFazerEleTePedirEmNamoro #ComoFazerOFicanteTeValorizar🔻Me Encontre nas Redes Sociais🔻📸Instagram➤https://www.instagram.com/karinefloriana/📸Tiktok➤http://www.tiktok.com/ 🎬YouTube➤https://www.youtube.com/ 📸Linkedin➤www.linkedin.com/in/karinefloriana📸KWAI➤ https://kwai-video.com/u/ /n8XhvCfK",,
video_17242,"O que um Homem espera de uma Mulher | Qual a sua opinião? #rafaelaires #antiotario #redpillbrasil🔥 Pare de ser feito de Otário! 🔥📕 Manual AntiOtário✅ Evitar manipulações e jogos emocionais✅ Se posicionar com inteligência nos relacionamentos✅ Torne-se a melhor versão de si mesmo📚 Adquira o seu agora! ⤵➡️| hotm.art/geracaoantiotario🚀 O livro que te ensina a se impor, evitar ciladas e nunca mais ser feito de trouxa.",,
video_8942,"VEJAM ESSE VÍDEO MULHER DESESPERADA QUERENDO MARIDO! A PISTA ESTÁ SALGADA #memes #humor #comedia Olá! seja bem vindo a mais um video do canal, hoje vamos falar, sobre o porquê que o homem deve malhar e treinar. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum video. vamos começar; VEJAM ESSE VÍDEO MULHER DESESPERADA QUERENDO MARIDO! A PISTA ESTÁ SALGADA",,
video_13909,"QUANDO A MULHER PEDE UM TEMPO  #homemdealtovalor #podcast #seducao #relaciomento 📕 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa."" Acesse o link abaixo:https://bit.ly/47tJ0bQ- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram:   Tik Tok:  - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento",,
video_1001,Só casa com mulher linda por que será? #homem #homens #homemdevalor #homemmoderno #motivação ,,
video_7837,"Levando em consideração o amor ao próximo, elas não tem nem isso. #Redpill #sigma #evolução #homem #homemdevalor #masculinidade #valores #motivação #react #respeito #humildade #principios #evoluir #shorts",,
video_16145,"SÓ SIGA PESSOAS QUE AGREGAM VALORES NA SUA VIDA | MARI VABO Corte do Episódio: HACKEANDO A MENTE DAS MULHERES (com Mari Vabo) | BUTECO PODCAST #109Canal: BUTECO PODCAST👑 Deixe o seu like e se possível comente!- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 👑 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa. "" ⚜️ Aprenda os segredos da conquista, desenvolva sua confiança e se torne o homem que as mulheres desejam. ✅️ Com dicas práticas e estratégias comprovadas, e um passo a passo para se tornar o verdadeiro protagonista de sua jornada amorosa. 🔥 Liberte o seu potencial e conquiste o coração das mulheres com o Método Alpha. Chegou a hora de se destacar!"" Instagram:   Tik Tok:  #desenvolvimentomasculino #seducao #homemdealtovalor #relacionamento",,
video_7158,"Seu marido é assim? #homem #homens #homemdevalor #homemmoderno #motivacao Se ela falar isso abre o olho homem Nunca mais seja enganado, saiba todos os truques usados por elas neste link 👉 hotm.art/Antitrouxa 👈#homem #homens #motivacao #homemmoderno  #homemdevalor",,
video_14491,"QUAL É O SEGREDO PARA ATRAIR UM HOMEM QUE TE VALORIZE DE VERDADE ✅QUAL É O SEGREDO PARA ATRAIR UM HOMEM QUE TE VALORIZE DE VERDADENeste vídeo eu vou te explicar qual é o segredo para trair um homem que te valorize de verdade.Se você é uma mulher solteira e está buscando um relacionamento de valor, uma relação afetiva saudável e duradoura este vídeo é para você.Neste vídeo eu vou te ajudar a entender como conquistar um homem de valor através de comportamentos de uma mulher de valor.Se você busca ser amada, valorizada e finalmente descobrir o segredo para atrair um homem de valor que te repise e te valorize, aqui está o segredo.🔴GUIA DA MULHER AUTOCONFIANTE🔴https://karinefloriana.com.br/💎Comunidade Mulher Autoconfiante-Receba dicas no Telegramhttps://t.me/+gvhTCF_GHEA2Y2Qx🔴E-BOOK: GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMAhttps://pay.kiwify.com.br/SIiljFS🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤QUAL É O SEGREDO PARA ATRAIR UM HOMEM QUE TE VALORIZE DE VERDADEhttps://youtu.be/ycTwqZwq2pM🚨Videos que também podem te ajudar🚨➤COMO DEIXAR UM HOMEM OBCECADO POR VOCÊ EM 6 PASSOS. AULA 1https://youtu.be/BZfEiq2sMpQ➤COMO CONQUISTAR UM HOMEM COM 4 ATITUDES? FAÇA ELE TE DESEJARhttps://youtu.be/dQBLREVfOmE➤COMO SE TORNAR EXTREMAMENTE ATRAENTE SEM ESFORÇOhttps://youtu.be/kzXwcEa2hOs➤TIPO DE MULHERES SOLTEIRAS QUE OS HOMENS NÃO GOSTAM -MULHERES DESINTERESSANTEShttps://youtu.be/NGwbYWizVjU➤COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTEhttps://youtu.be/DchFUqCx9TY➤COMO FAZER UM HOMEM FICAR INTERESSADO POR VOCÊ RAPIDAMENTE- DEIXE ELE APAIXONADOhttps://youtu.be/NsNIPOcIab0➤COMO CHAMAR A ATENÇÃO DE UM HOMEM?  FAÇA DIFERENTEhttps://youtu.be/6wvEfgkfwTI===========================================================🔴 #relacionamento #relacionamentoamoroso #comoconquistarumhomem #conquista #valor #valorizada #gostar #amar #amor 🔻Me Encontre nas Redes Sociais🔻📸Instagram➤https://www.instagram.com/karinefloriana/📸Tiktok➤http://www.tiktok.com/ 🎬YouTube➤https://www.youtube.com/ 📸Linkedin➤www.linkedin.com/in/karinefloriana📸KWAI➤ https://kwai-video.com/u/ /n8XhvCfK",,
video_2896,"A mãe deste homem avisou #homem #homens #homemdevalor #homemmoderno #motivação 💔 **A Farsa que Te Venderam sobre o Amor e Você Acreditou** 💔Neste episódio do nosso podcast, vamos desmistificar os mitos e as ilusões que cercam o amor romântico que muitos homens acreditam. Vamos explorar as mensagens enganosas da mídia, da cultura e até mesmo de relacionamentos anteriores que podem ter moldado uma visão distorcida do amor.Discutiremos como esses ideais podem levar à desilusão e à frustração, e como encontrar uma perspectiva mais realista e saudável sobre o amor. Prepare-se para reflexões que podem transformar sua visão e suas experiências amorosas!✨ **Não se esqueça de curtir, compartilhar e se inscrever para mais conteúdos sobre relacionamentos e autoconhecimento!** ✨### Hashtags:#Amor #Desmistificando #Relacionamentos #MitosDoAmor #SaúdeEmocional #Autoconhecimento #Podcast #Reflexões Se precisar de mais alguma coisa, é só avisar!",,
video_7498,"MULHER QUESTIONANDO A NECESSIDADE DA RED! Olá! seja bem vindo a mais um vídeo do canal, hoje vamos falar, sobre MULHER QUESTIONANDO A NECESSIDADE DA RED!. não se esqueça de se inscrever no canal e deixar o like  além disso ative o sininho de notificações para não perder nenhum vídeo. vamos começar;",,
video_16590,"Por Que Alguns Homens Preferem as Profissionais do Sexo? A decisão de alguns homens optarem por profissionais do sexo pode ser influenciada por vários fatores, como a busca por experiências sem compromisso, a curiosidade, ou até mesmo o desejo de evitar as complexidades emocionais associadas a um relacionamento tradicional. Cada pessoa tem suas próprias motivações, e a escolha pode refletir uma série de necessidades pessoais e emocionais. É importante, no entanto, que cada interação seja baseada em respeito e consensualidade. #Relacionamento #Comportamento #Masculinidade #FabrícioAcunha #Sexualidade",,
video_10883,Você quer ser avó? | Thiago Schutz #shorts #relacionamento #responsabilidade #reflexão #amor #avó ,,
video_8380,VOCÊ NÃO PRECISA DE UMA MULHER (você apenas quer) Clique no link e me siga no novo Instagram  :https://www.instagram.com/sedutorafro22TENHA A MULHER QUE QUISER AUMENTANDO SEU VSM:https://sedutorafro.com.br/aulaodevsm-v2-yt/,,
