id_video_anonimizado,text,final_misoginia,final_toxicidade
video_10058,Hoje fazem 27 dias sem a minha mãe 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_10180,5 tipos de homens que não vale a pena pegar #feminino devalor #sedução,0,0
video_10191,tua vida tá um inferno por esse motivo.... 🏛️ Cúpula Alphalife → https://matheuscopini.com/alphalife?utm_source=youtubeé por isso que sua vida anda tão desreculada.Meus princiais treinamentos:📱 Capital Digital: https://matheuscopini.com/capital-digital?utm_source=youtube 🏛️ Alphalife: https://matheuscopini.com/alphalife?utm_source=youtube 🔥 Lover: https://matheuscopini.com/lover?utm_source=youtube 🧠 Estoicismo diário: https://matheuscopini.com/estoicismodiario?utm_source=youtube Me siga nas redes sociais: 🧔 Instagram Pessoal → https://www.instagram.com/copini_alphalife/ 🧔 Instagram MKT → https://www.instagram.com/copinicapital/ 🎧 Spotify → https://open.spotify.com/show/4YHh4JPSMSJzcR8HxsIFfE Contato:📩 Contato comercial: alphalifecopini .com📩 Suporte para alunos: alphalifesuporte .com,0,0
video_10198,Se você não depender do seu marido você vai se acabar 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,1,1
video_10199,"** ALERTA** Por Que Ficamos Nervosos Perto De Uma Pessoa Atraente (Atração Genuína ou Timidez) Qual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https:// o Ebook ""Guia De Looksmaxxing De 10 Etapas"" 👔✨📝👩‍🎨👨‍🎨📖https:// o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS"" 👔✨📝👩‍🎨https:// Siga No Instagram 👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok 👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",0,0
video_10214,As gordinhas são especiais? | Thiago Schutz #reflexão #emagrecimento #relacionamento,1,1
video_10220,"Ana, o que ve entende pela submissão bíblica da mulher ao marido? 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://",1,0
video_10245,A abundância do chad devalor moderno #motivação #,0,0
video_10246,RAIAM SANTOS FALA SOBRE GU3RRA...,0,0
video_10282,"Seu marido não está prestando mais para você, larga ele! Tem que queira. 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://",0,0
