id_video_anonimizado,text,final_misoginia,final_toxicidade
video_10139,"Mulher Fica Mais Feliz Com Homem Mais Velho? A Verdade Você já se perguntou por que muitas mulheres preferem homens mais velhos? Neste vídeo, vamos explorar os motivos que fazem muitas mulheres se sentirem mais felizes ao lado de parceiros mais experientes. Será a maturidade e estabilidade a chave para o sucesso no relacionamento? Venha descobrir! #Relacionamento Feliz MaisVelhos #Psicologia #Maturidade",1,1
video_10191,tua vida tá um inferno por esse motivo.... 🏛️ Cúpula Alphalife → https://matheuscopini.com/alphalife?utm_source=youtubeé por isso que sua vida anda tão desreculada.Meus princiais treinamentos:📱 Capital Digital: https://matheuscopini.com/capital-digital?utm_source=youtube 🏛️ Alphalife: https://matheuscopini.com/alphalife?utm_source=youtube 🔥 Lover: https://matheuscopini.com/lover?utm_source=youtube 🧠 Estoicismo diário: https://matheuscopini.com/estoicismodiario?utm_source=youtube Me siga nas redes sociais: 🧔 Instagram Pessoal → https://www.instagram.com/copini_alphalife/ 🧔 Instagram MKT → https://www.instagram.com/copinicapital/ 🎧 Spotify → https://open.spotify.com/show/4YHh4JPSMSJzcR8HxsIFfE Contato:📩 Contato comercial: alphalifecopini .com📩 Suporte para alunos: alphalifesuporte .com,0,0
video_10241,Traição não começa em um quarto de motel porque nada começa grande 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_10256,1 ano que minha mãe se foi 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_10277,O homem deve bancar as mulheres #sedução #fofoca #conquista #sedutor #conquistar devalor,1,0
video_10284,Levante o dedo o cara que achar que eu estou errada. 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_10311,"Mulher Revela A Verdade: Homens Inteligentes Não Querem Mais Casar! ✅👉 Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/joinPor que os homens estão evitando relacionamentos e fugindo do casamento? No passado, muitas mulheres ignoravam os homens sem status, mas agora que esses homens cresceram, evoluíram e conquistaram seu valor, eles não querem mais compromisso com mulheres interesseiras.Além disso, muitos homens têm medo das falsas acusações e das leis injustas que podem fazer com que percam metade do patrimônio em um divórcio. Essa nova realidade faz com que muitos optem por ficar solteiros ou escolher seus relacionamentos com muito mais cautela.No vídeo de hoje, uma mulher de opinião sensata explica os motivos reais pelos quais os homens estão cada vez mais evitando o casamento. Se você quer entender essa mudança no comportamento masculino, assista até o final!🔻 Assista agora e descubra a verdade que ninguém quer falar! 🔻EvitandoCasamento #RelacionamentosModernos #MedoDoCasamento esInteresseiras #FalsasAcusações DeAltoValor EmCrise OuRisco Inteligentes #MudançaMasculina",1,1
video_10321,Vale a pena casamento hoje em dia? | Thiago Schutz #relacionamento #reflexão #fyp,0,0
video_10353,O juízo final está próximo. Arrependa-se! #evolução devalor #valores #motivação #react #respeito #humildade #principios #evoluir,0,0
video_104,Homem de valor não respeita vulgaridade disfarçada de liberdade! | Qual a sua opinião? brasil🔥 🔥📕 ✅ ✅ ✅ Adquira o seu agora! ⤵➡️| .,1,1
video_1044,É ASSIM QUE A MATRIX SUGA TUA ALMA.... [vídeo proibído] ► CAPITAL DIGITAL | A MAIOR OPORTUNIDADE DO SÉCULO► Alphalife+: https://alphalifeplus.com/?utm_source=youtube► Lover Academy: https://loveracademy.com.br/?utm_source=youtube► Close Friends: https://copinioficial.com/?utm_source=youtube► Instagram: https://www.instagram.com/copini_alphalife/► Contato Suporte para alunos: alphalifesuporte .comEmail comercial: alphalifecopini .com,0,1
video_10448,'é só tratar bem que a gente se apaixona'' diz Influencer FEMINISTA #desenvolvimentopessoal 1️⃣ Canal do telegramhttps:// COMBO 20 CURSOShttps://pay.kiwify.com.br/jQ9YQDv?afi...3️⃣ Secretaria da escola(dúvidas referente ao curso)https://wa.me/5522992232841ESSE CANAL trata da perspectiva MASCULINA do mundo moderno e DESENVOLVIMENTO PESSOAL opiniões sarcásticas e humoradaspeço respeito nos comentários,0,0
video_10449,Olhe para os seus irmãos com amor 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_10479,"Sobre ser mãe de menino 1- 📕2- Domine as lições do nosso livro 3- Faça parte do nosso ., livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0
video_10527,"Não fique triste caso a sua mulher tenha te deixado 1- 📕2- Domine as lições do nosso livro 3- Faça parte do nosso ., livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0
video_10570,"Verdades sobre namorar um nerd 1- 📕2- Domine as lições do nosso livro 3- Faça parte do nosso ., livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0
video_10600,Como jogar esse jogo sem iludir? | Thiago Schutz #reflexão #verdade #jogo #fyp,0,0
video_10703,Mulher rodada cuidado homem devalor moderno #motivação,1,0
video_10711,Agora aprendi homem devalor moderno #motivação,0,0
video_10729,Quando você está se cuidando poucas pessoas ficam do seu lado,0,0
video_10757,"PERFIS QUE NÃO VALEM A PENA SE RELACIONAR #podcast dealtovalor 📕 Descubra o poder do Método Alpha: método definitivo para transformar sua vida amorosa."" Acesse o link abaixo:https:// - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - Instagram: Tik Tok: - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - dealtovalor #relacionamento",0,0
video_10804,Essa é a combinação mais mortal que você pode fazer 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_10809,Um cara escolhe uma mulher pela beleza e nao quer mulher com dinheiro #masculinidad,1,1
video_1088,"HOMEM MADURO QUER MULHER DE VALOR #relacionamento napraia ed devalorbrasil safado mentor macho ✅👉 SERVIÇOS E CURSOS: Acesse o link abaixo 👇👇👇https:// APRENDA O MÉTODO DA OBSESSÃO FEMININA Acesse o link abaixo 👇👇👇https://curso1.fabricioacunha.com.br/✅👉RECONQUISTE A SUA EX DE VOLTAAcesse o link abaixo 👇👇👇https://exdevolta.fabricioacunha.com.br/✅E-BOOK GRÁTIS: ""COMO SUPERAR UM TÉRMINO EM 8 PASSOS""👇👇👇https://fabricioacunha.com.br/superar-um-terminoVocê será um expert na paquera e sedução. Aprenda a conquistar mulheres em qualquer lugar.Seja um homem atraente e comece agora a conquistar qualquer tipo de mulher!Com essas dicas você pode seduzir qualquer mulher e disparar os gatilhos de atração nela!!Seja um homem de atitude e auto confiante!!#CONQUISTEQUALQUERMULHER#GATILHOS_DA_ATRAÇÃO#SEJA_ATRAENTEATRAENTE",1,0
video_10893,A mulher que dá o tom da casa 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,1,0
video_1097,"Ela já foi casada 4x. 3 filhos, 2 pais. super linda ainda. Qr recomeçar cmg. O q acha ?",0,0
video_10979,O que eu faço com esse dilema? | Thiago Schutz #reflexão #relacionamento #fyp,0,0
video_10983,Se eu fosse homem eu fugiria desse tipo de homem 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_11100,"Não seja inimiga do seu parceiro 1- 📕2- Domine as lições do nosso livro 3- Faça parte do nosso ., livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0
video_11106,HOMEM PRECISA ASSUMIR A RESPONSABILIDADE DE HOMEM #relacionamento #sedução,0,0
video_1112,"Descobrir o VERDADEIRO CARÁTER de uma mulher nunca foi tão simples (FAÇA ISSO) 💪 Use o cupom (CONSELHO) na Growth: https://www.gsuplementos.com.br/🇺🇸 Curso de Inglês Definitivo BEWAY: https://edzz.la/P3BAZ?a=60544958𖣠 Faça parte do Alto Conselho, transforme seus hábitos: https://altoconselho.com𖣠 Conheça a imersão Vocação, dê sentido a sua vida: https:// Livros que recomendo: https:// Equipamentos que uso: https:// Canal secundário: / ☕︎ Quer conversar comigo?Traga suas questões, agende uma consultoria: https:// Contato comercial◼️➤ contatoprojetoconselho .com",0,1
video_11313,"Levar ficante para jantar é válido #relacionamentosEntre para o Super Aulão de VSM: http:// Neste vídeo, Gabriel Amorim dá as melhores dicas para você esquecer sua ex-namorada e virar a página de uma vez por todas.",0,0
video_11376,ESSE É O PLANO DOS GLOBALISTAS,0,0
video_11396,E quando você que é casada e ele solteiro? 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_1142,Uma mulher que merece ser valorizada! Espero que o soldado esteja valorizando. | Qual a sua opinião? brasil🔥 🔥📕 ✅ ✅ ✅ Adquira o seu agora! ⤵➡️| .,0,0
video_1144,Ela só queria retribuir… mas ele só queria cuidar dela. Resultado? Jantinha e amor em casa ❤️ 📕- ANTIOTÁRIO: https://antiotarioprooficial.com/oferta/Instagram: https://www.instagram.com/antiotariopro/Telegram: https:// https://www.facebook.com/antiotariopro/,0,0
video_11469,"SE O HOMEM DE 30 ANOS NÃO CASOU, NÃO CASA MAIS #relacionamento napraia #relacionamento napraia ed devalorbrasil safado mentor macho",0,1
video_11483,“A minha vida começou a dar certo depois que eu parei de conversar fiado” 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://,0,0
video_11500,"Se o homem não for líder, vai ter divórcio 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 | https://",0,1
video_11501,"Homens, fiquem sozinhos e inacessíveis até organizarem suas finanças.",0,0
video_11530,Traição | Gaia | Qual a sua opinião? brasil,0,0
