id_video_anonimizado,text,final_misoginia,final_toxicidade
video_100,"Como deixar um homem louco por você #conquistaramor #sedução #conquistarumhomem ✅Quer DESTRAVAR a sua vida afetiva definitivamente?👇LINK: DA MULHER AUTOCONFIANTE GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMA Mulher Autoconfiante-Receba dicas no Telegram vídeo eu vou te ensinar a como conquistar um homem , como deixar um homem louco por você, como deixar ele obcecado por você. Você vai aprender uma técnica infalível para deixar ele completamente apaixonado e cheio de amor por você. com essa técnica você vai envolver e seduzir qualquer homem.📌 Descubra como destravar sua vida afetiva! Acesse o programa Destrava-se para o Amor e faça um teste exclusivo para identificar o que está bloqueando você. Clique no link no primeiro comentário fixado ou na descrição e comece hoje mesmo sua transformação.🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤ COMO CONQUISTAR UM RELACIONAMENTO SAUDÁVEL🚨Videos que também podem te ajudar🚨➤COMO DEIXAR UM HOMEM OBCECADO POR VOCÊ EM 6 PASSOS. AULA 1 CONQUISTAR UM HOMEM COM 4 ATITUDES? FAÇA ELE TE DESEJAR SE TORNAR EXTREMAMENTE ATRAENTE SEM ESFORÇO DE MULHERES SOLTEIRAS QUE OS HOMENS NÃO GOSTAM -MULHERES DESINTERESSANTES APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTE FAZER UM HOMEM FICAR INTERESSADO POR VOCÊ RAPIDAMENTE- DEIXE ELE APAIXONADO CHAMAR A ATENÇÃO DE UM HOMEM? FAÇA DIFERENTE amoroso #conquista Saudável Amoroso #ComoTerUmRelacionamentoSaudável #ComoConseguirUmRelacionamento #ComoLidarComUmRelacionamento🔻Me Encontre nas Redes Sociais🔻📸Instagram➤ 🎬YouTube➤ 📸Linkedin➤ /n8XhvCfK",1,0
video_10086,Como ser espiritualizado no relacionamento? | Thiago Schutz #reflexão #fyp #fé,0,0
video_10147,A verdade por trás dos posts sensuais! | Qual a sua opinião? brasil🔥 🔥📕 ✅ ✅ ✅ Adquira o seu agora! ⤵➡️| .,0,1
video_10157,Mulheres Israelitas 🎯😍,1,0
video_10180,5 tipos de homens que não vale a pena pegar #feminino devalor #sedução,0,0
video_10199,"** ALERTA** Por Que Ficamos Nervosos Perto De Uma Pessoa Atraente (Atração Genuína ou Timidez) Qual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏 o Ebook ""Guia De Looksmaxxing De 10 Etapas"" 👔✨📝👩‍🎨👨‍🎨📖 o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS"" 👔✨📝👩‍🎨 Siga No Instagram 👣👉📸😊 Siga No TikTok 👣👉🎵😊 Siga No Face 👣👉📘😊",0,0
video_10238,este homem é artista ou desocupado? devalor moderno #motivação,0,0
video_10254,"A diferença entre o louco e o gênio é o resultado 1- 📕2- Domine as lições do nosso livro 3- Faça parte do nosso ., livro de desenvolvimento pessoal mais vendido do país. 🫡",0,0
video_10339,"Solteiro por Escolha? A Verdade Nua e Crua dos Homens de Valor! Descubra por que tantos homens de valor e bem-sucedidos estão optando pela vida solteira e abrindo mão de relacionamentos amorosos. Exploramos as razões por trás dessa decisão, desde prioridades de carreira e autodesenvolvimento até a busca por paz e liberdade. Entenda a perspectiva masculina sobre relacionamentos modernos e o que realmente importa para um homem de valor solteiro. desolteiro #solteiro devalor #independencia #liberdade #autoconhecimento #desenvolvimentopessoal #verdadesobreossolteiros",0,0
video_10373,Como fazer um implante capilar? | Thiago Schutz #reflexão #calvo #implantecapilar #fyp,0,0
video_10415,"Ser Engraçado Ajuda a Conquistar M1N4S ? Novo Canal Alternativo - -c7dQual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏 o Ebook ""Guia De Looksmaxxing De 10 Etapas"" 👔✨📝👩‍🎨👨‍🎨📖 o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS"" 👔✨📝👩‍🎨 Siga No Instagram 👣👉📸😊 Siga No TikTok 👣👉🎵😊 Siga No Face 👣👉📘😊",0,0
video_10464,Como curar a dependência emocional?,0,0
video_10584,Não seja esse tipo de homem,0,0
video_10640,O betinha ficou com medo kkkk moderno devalor,0,1
video_10657,Namorando um homem de verdade | Qual a sua opinião? brasil,0,0
video_10714,Coisas que me fariam levantar da mesa numa conversa com outras mulheres 🔐 - Entrada no Esse é apenas o começo! 🗿👇🔗 |,0,0
