original_id,original_prompt,llm_response
comentario_1338784,"A hipocrisia feminina, como sempre, é muito fácil de se demonstrar. Basta apenas que um homem fizesse algo parecido em relação às despesas de casa e dizer:""Não sou teu pai."" A chuva de ódio feminino em relação ao sujeito seria simplesmente INTERMINÁVEL. Obrigado pelos bons conselhos de sempre, Padrinho.",1
comentario_902047,"TaMas era só um questionário para registrar sua profissão. Lá não tem opção de explicação sobre Oque é ser uma dona de casa, então isso foi em vão somente para seu reconhecimento.",0
comentario_733830,"Os bovinos agradece pelas referências dos mugidos padrão. MMMúúúúúúúúúúúú... ., 👀🐂🐃🦬🐃🐂😂😂😂😂😂😂",0
comentario_1612217,O que tenho a dizer é: 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅,0
comentario_664708,tapa na cara aqui no Brasil só se auferido por uma mulher 😅,1
comentario_2608796,Parabéns pela sua atitude...Um homem de alto valor não fica sem trabalho porque quer.As fazes da vida chega pra todos... não importa se é homem ou mulher.,0
comentario_927749,Eu fui traída filha sempre fui uma mulher legal,0
comentario_2621755,O pessoal criticando ela sem ter a consciência de que a vida é  dela e faz o quê  quer.,0
comentario_2292130,Meu Deus do céu q mundo é esse Jesus,0
comentario_1553427,"  tá n mn, tipo eu entendo q n precisa escrever bem no yt e pd abreviar, mas algumas coisas são obrigatórias...",0
comentario_1209697,Ja sabia que era uma casa por causa da legenda,0
comentario_1685773,"Esses apresentadores são ruins demais, pqp",0
comentario_2259119,Claro  que  as  mulheres  precisam  se  cuidar   mais  quando  existe  amor e  foi  o  espírito  santo quem  colocou  o sentimento não  há   lugar pra outra mulher.,1
comentario_1368557,fico triste com uma noticia dessas ;),0
comentario_534571,"Quando o cara asstir muito comedia de traição, stand de comédia que e6de ouratia e nao sabe nada de biologia kkkkNao houve contato físico kkkO cara nao tocou nela kkk",0
comentario_1153996,"Nossa , que conversa desnecessaria  e a mulher então !!!!!!!",1
comentario_950371,"Nada a ver ,isso não é verdade ,quase todos os homens tá nem aí, quase todos estão assim no celular, nem tá nem aí pra mulher, nada a ver ..isso vai de caráter,",1
comentario_703163,Isso quer dizer dizer quando a mulher quer traiir ninguém segura,1
comentario_1673061,Esses caras ajudaram a aumentar a perseguição do Xandão! Denunciaram pessoas de direita! Sério Redcast que vcs tão colando com eles? Que decepção,0
comentario_2752994,O Alexandre tá sofrendo porém se td isso for verdade tenho dó da Ana o retorno só Deus pra ter misericórdia 😢mas oro por eles,0
comentario_2614648,"sim mano, pq mtas mulheres tbm foram violentadas ai procuram o prazer em mulher que tbm é bastante, ai vira uma bola de neve pq a dopamina sobe la em cima",1
comentario_890207,"Gente dê boa, essas mulheres estão sem noção da vida 😜 eu sou cara nem 😅 pensei que fosse gp😅",0
comentario_2832584,O Carioca só tava enxergando o lado dele... Ele não conseguia enxergar que a mulher não suportava ele...,1
