original_id,original_prompt,llm_response
comentario_306692,É pior que a maioria delas se orgulham do passado delas. Ainda bem que o cara descobriu se não estaria condenado a viver em um inferno pelo resto da vida.Esse rapaz teve foi um livramento dos grandes e com certeza deve ter dado testemunho a outros. O futuro de uma pessoa ser bem sucedida na vida é ter um bom currículo e bom histórico  no passado para que o  futuro será excelente e próspero na vida.,1
comentario_68694,A história da chave e do cadeado,0
comentario_2024273,"Não precisa ser raparigueiro para cair nesse golpe, basta ter o azar de dar carona para uma vagabunda destas daí, aqui em Brasília muitos coroas caíram nesse golpe de dar carona para certas minas bonitas!",1
comentario_1848912,"  está sentindo o que a maioria delas cobram de seus parceiros, trabalhar fora, ajudar nos trabalhos de casa e  ser amoroso...🤷🏽‍♀️",1
comentario_1995049,O egoísmo é foda... Às vezes pensar somente em si faz o outro sofrer. E quem não tiver empatia para se colocar no lugar do outro não vai conseguir enxergar os problemas. Quando resolver abrir os olhos será tarde demais.Mas é isso. As pessoas não valorizam as boas coisas que possuem. Costumam valorizar só depois que perdem ou quando fazem as escolhas erradas.É como esse marido imbecil.,0
comentario_2625054,E ajudar o ajudante a ser pedreiro… casei com um ajudante e de tanto falar na cabeça dele hoje ele é pedreiro e eletricista.,0
comentario_1008453,"Estão solteiros porque não querem ter responsabilidades ,nem querem ficar preso em uma só mulher, safadeza está no DNA deles .",1
comentario_1495713,Ele tava possuído pelo 9 CASCOS do PT,0
comentario_1624418,"@ -iz6cnSe não vai pagar não vai comer , é namoro mas vai querer sexo né ? Então não paga não come 😂",1
comentario_1583300,"VERDADE CRIA JUIZO PAIZÃO,  METE MARCHA",0
comentario_704368,"Sempre fui assim, porém fui chamada de chato e com o apoio da ordinária da mãe, preferiram me mandar embora de casa, porém não desisti da minha filha e por amor a ela contínuo cuidando dela mesmo nao morando mais juntos.",1
comentario_1241138,"Nunca vi tanto fracassado em uma sessão de comentários, só não é mais fracassado de quem fez o video",1
comentario_1089178,"Eu faria a mesma coisa, mais que corta o coração 😢😢. Tão linda!!!😊😊.",0
comentario_1551226,Tá mas é daí q ela é cristã? Princípios morais existem dentro e fora das crenças.,0
comentario_1299736,"O duro é ouvir essas doentes feminazis dizerem aquelas frases que homens não prestam, que são todos iguais e aquele monte de frases repetidas...Homens de verdade são assim...eu trabalho 14 horas por, trato minha esposa como um Rainha, pois ela se porta como uma..Homens assumem uma mulher a são capazes de amá la mesmo ela sendo desempregada, sem dinheiro.",1
comentario_1137856,"DO FUSCA, DO CHIFRE, DA MORTE  NINGUÉM  ESCAPA; ATÉ  PORQUE  O CORNO(A) NA MAIORIA  DAS  VEZES NEM FICA SABENDO.",1
comentario_683099,Não tô afim de ser canalha nem cafajeste nem galinha nem malandro nem cara mau nem psicopata por causa de mulher. Se for assim continuo sozinho mesmo. E também não quero mulher assim.,1
comentario_1642042,Só quem trabalhou ou trabalha em um ambiente que só tem mulher sabe como funciona.Parece que vira uma chave na cabeça das fêmeas!,1
comentario_2229499,"@  Pergunte pro seus políticos. Acho que é até impressionante que eles permitam as pessoas se esterilizarem aos 21 sem ter filhos, considerando nossa crise demográfica. Se você tem entre 18 e 21 talvez você possa criar uma história e mentir que já tem 2 filhos, se não me engano eles não investigam nada.",1
comentario_259973,"Eles deveriam ser presos na hora em que abrissem o processo, mais o Brasil e formado por milhões de pessoas algumas com formação academia e. Vidas bem estruturadas e muitas com religiões diversas, mais as pessoas só criticam e xingam fazendo intrigas disso ou daquilo mais não agem temos que defender a atitude dessas empresas nos somos o Brasil temos que agir",0
comentario_572199,"Eu faço amizade com as mães que levam filho no Parquinho uai.. 😅😅😅. Quando você gosta da conversa da pessoa, não tem nada demais. Não vi nada além de uma fofoqueira sem noção, ouvindo a conversa dos outros e ainda vindo passar vergonha no yt 😂😂",0
comentario_139225,"Rsss! 😂😂😂 ""Você não falou que a gente é só amigo? Moço,  atende ela aqui por favor!""",1
comentario_2609869,"@  mas no meu caso, nem dinheiro resolve. Kkkkk mas eu estou bem.",0
comentario_2464638,"Olha, sei não, um bola gato por uma pizza de 60 pila e uma carona, fazendo minhas contas e considerando o preço dos programas por aqui... olha que mando entregar a pizza pra não ter que aturar a conversa furada e me paga o bqt ali mesmo😂",0
comentario_420575,"A roupa já define e anuncia que são marmitas, toda vez que aparece mulher com essa falta de pano.",1
comentario_2469328,Que um Cavaleiro Branco seja o Salvador dessa Balzaca em fim de carreira.,1
comentario_233589,"Mas uma mulher chamar o cara de viado nao pode ser considerado homofobia? Afinal o cara pode se declarar viado mesmo, e se considerar ofendido pela mocréia.E agora?",1
comentario_867297,Cuidado o Barco ⛵⛵⛵⛵ soldado 🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🪖🙂🙂😊,0
comentario_2940627,"Estão menos sensíveis.Nós anos 60, éramos livres na ditadura, a liberdade era interior..O que me fortalece é a religião.Amo !",0
comentario_2743962,Quando vc não tem razão tenta calar o opositor 😢,0
comentario_1492776,A mulher ?? Saco !!! Tem que ter saco pravaturar esse bando de.mimizento do caralh@,1
comentario_2838214,"@  entenda uma coisa, em momento algum ele citou o nome de usuário ou o nome da senhora, ele apenas replicou uma piada com um trocadilho. E um detalhe adicional, se não fosse uma piada ele também estaria se referindo a irmã e mãe dele, ou seja, não faz sentido a sua revolta, além do mais, apenas a senhora veio reclamar, e não só reclamar, a senhora veio insinuando coisas de forma direta sobre a mãe dele.Se uma pessoa não se enquadra no que ele diz, não tem motivo algum para vim reclamar, sequer para vim dizer que a mãe dele é aquilo.E vou além, você em momento algum negou que você era aquilo, apenas insinuou que a mãe dele também fosse.😂😂😂😂😂",1
comentario_1630022,"@  só pq a lei no Brasil é falha que todas as mulheres são ruins? A culpa por acaso é de quem cria as leis ou das mulheres? Se tem homem ruim, tb vai ter mulher ruim que irá se aproveitar das leis, principalmente no Brasil. Isso ñ quer dizer que todas as acusações são falsas ou que ñ tem mulheres que precisam de leis para serem protegidas. Sabemos que essas leis nem ajudam realmente as mulheres que precisam, já que muitas são mortas e o assassino mal fica na cadeia.",1
comentario_448463,"Por trás duma armadura de ""virtude"" mangina está um esqueleto misógino",1
comentario_2264481,"​ ,  terapeuta é coisa de homem, o que todos precisam é de Cristo em suas vidas, Deus é o sentido da vida.",1
comentario_1905828,"Quenha assumida , cobrou na lata😅😅",1
comentario_855739,"Vai do marido, isso é um previlégio de poucos.",1
comentario_1627045,"""nem tudo o q voce ve na internet é real."" eu diria q quase tudo é ficção. :)",0
comentario_464118,E você já deu para quantas 😅😅😅😅,1
comentario_124366,Kokk .. minha amiga ? Kkkk ta bom eu acredito no papai noel .,0
comentario_2106526,Esse pai tem meu respeito. 👏🏻👏🏻👏🏻👏🏻,0
comentario_106040,"Em que planeta ela vive que não sabe da lei ""Não é Não"" e que isso da até cadeia, nem bom dia dou mais para as digníssimas kkkkkkkk",1
comentario_1293498,Gosta sim se nao gostasse nao pagaria para a amante e nao ficaria com uma que usa tudo isso😂😂,1
comentario_2367085,Porque a mulher do pastor transo com medigo,1
comentario_131757,"Eu tinha prazer de cuidar da minha mãe, ela se foi aos 93 anos❤❤❤ cuidei até o fim, e hoje sinto muita falta dela",0
comentario_1042943,A mão esquerda do cara....ainda desperta suspeita...,0
comentario_1227448,desde de quando ficar junto o dia inteiro é um benefício para o cara?,1
comentario_2201486,Mulher cheia de amigos e com 500 contatos de homem no zap.  Tem otário que acha normal.  Minha ex tinha uma amiga assim. Um dia ela veio me dizer que amiga é muito comunicativa. Eu respondi: eu sei! Ela deve adorar falar no microfone dos outros. Me poupe por que eu não fui criado na Disney !  Ela até bloqueouu a tal amiga.,1
comentario_710799,"Parabéns pela sintonia. Quem achar, achou. Ganhou na loteria. A Exceção só confirma a regra. A regra de que não vale a pena assumir uma mulher hoje em dia.",1
comentario_2558219,Ele ta certo. Eu sou bi e to preferindo femboys. Esses são um amor de pessoa. Me tratam como Deus.,0
comentario_257520,"Esses são os dilemas da juventude, depois de adulto piora",0
comentario_1069677,Mulherada exigindo respeito sendo que elas não respeitam nem a elas mesmas 😂😂😂😂😂😂😂É. difudê 🤣🤣🤣🤣🤣🤣🤣,1
comentario_662960,Olha isso é verdade parabéns tem que divulgar isso mesmo❤ Maria Timon Maranhão,1
comentario_1243833,"Foi o que eu falei, vou empilhar tantas provas que só os malucos vão continuar teimando",0
comentario_1654905,"Meu deus eu tenho eh odio de gnt sem nocao q submete a oripria vida em troca de ser besta na eua dirige mal e ainda quer ter razao e nao sabe se contentar com nada, e fica faznd prezepada nan sinceramente",1
comentario_1472941,"Falo a absoluta verdade O a gente se valora e cria um amor próprio,  o nois sofriremos a vida toda .Mantenha a fé,  que o gran amor da sua vida, ainda está para chegar❤",0
comentario_701601,Fudeu a pestinha literalmente 😂,1
comentario_1005281,Eu sou um mistério inrressistvel,0
comentario_540555,esse cara um picareta prega mas nao faz o que prega,0
comentario_1212121,"Rapaz, nem na Globe tem atores tão bons.",0
comentario_1983871,"Aos mais novos, que acreditam no conservadorismo como solução, aconselho-os a procurar o texto acerca da bolha misândrica que saiu até no New York times deve ter mais de 10 anos. O homem conservador é o mais insalubridade e o que mais caga regra aos outros. A pegada desse texto vai na linha de que, por mais que haja um sistema feminista, elas não conseguiriam prejudicar um homem sem o aval e a chancela do homem tradcon e o mesmo faz na intenção de se aparentar cavalheiresco. Recomendo",1
comentario_1380135,"Na verdade essas véia largadas tão mais pra empoeiradas, o cara que se junta com elas tem q aguentar as crises existenciais",1
comentario_2026152,"@  sim, sempre houve as exceções, inclusive algumas mulheres admiráveis fizeram historia com isso no passado, Marrie Currie por exemplo, entre outras q tiveram destaque no meio academico com pesquisas, não to questionando a capacidade das mulheres mas sim que: se levarmos o modelo conservador a risca temos vantagens e desvantagenspara criação de filhos o modelo de o casal trabalhar fora sempre causou mais restriçção na tarefa de criar filhos e isso a longo prazo causa reduçção populacional, escassez de mao de obra, entre outras coisas, mas desfavorece a procriação o modelo moderno, acredito q é esse ponto que ""preocupa"" os conservadores, pra mim tanto faz kkkkk, ja abracei a modernidade.",0
comentario_2403913,Tua maquiagem é perfeita. Teus Lábios são lindos teus dentinhos maravilhosos d perfeitos. Sou teu fã 👄,0
comentario_1214300," O exemplo é correto, se vc quiser seguir o contrário fique a vontade, mais lembre se um dia a conta chega.",1
comentario_1310684,"Nem precisaria do dinheiro 💰 o livramento por si só, não tem dinheiro que pague, seus 3 anos perdido com a pessoa insignificante, mas pela resposta no final você merece muito mais que R$ 10.000,00 luz na caminhada meu irmão 🚀🌍🦅🙏🏾📖🛡️",1
comentario_2605773,E você vá se vestir igual uma mulher de Respeito.,1
