original_id,original_prompt,llm_response
video_1001,Só casa com mulher linda por que será? #homem #homens #homemdevalor #homemmoderno #motivação,1
video_10050,"50 Fatos sobre Relacionamentos Modernos ** EXPLICADOS ** Em 1 Vídeo Qual Sua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",1
video_10060,Mais um personal pegando mulher casada 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1
video_10173,"COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTE ✅Quer DESTRAVAR a sua vida afetiva definitivamente?👇LINK: https://pay.kiwify.com.br/hEskh2i✅GUIA DA MULHER AUTOCONFIANTEhttps://karinefloriana.com.br/✅E-BOOK: GUIA PRÁTICO PARA AUMENTAR O AMOR-PRÓPRIO E MELHORAR A AUTOESTIMAhttps://pay.kiwify.com.br/SIiljFS💎Comunidade Mulher Autoconfiante-Receba dicas no Telegramhttps://t.me/+gvhTCF_GHEA2Y2Qx✅COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTENeste vídeo eu vou te explicar como aprender a ser amada e valorizada por um homem.Muitas mulheres buscam conquistar um homem, seduzir um homem, deixar o homem apaixonado e acabam fazendo tudo errado.Se você quer aprender a atrair um homem, a ser valorizada como mulher, a ser amada, a ser uma mulher de valor, então este vídeo é para você.Aqui você também vai entender sobre valor, ser valorizada, ser amada, ter valor, receber amor e valor e como ser valorizada.🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀🔴Compartilhe esse vídeo : ➤COMO APRENDER A SER AMADA E VALORIZADA POR UM HOMEM RAPIDAMENTEhttps://youtu.be/DchFUqCx9TY🚨Videos que também podem te ajudar🚨➤Por que os homens esfriam ou se afastam de você? Aula 1https://youtu.be/_qNB7lmWWp0➤Por que os homens esfriam ou se afastam de você? Aula 2https://youtu.be/zzT6vXgU8V0➤COMO ME PREPARAR PARA AMAR E SER AMADAhttps://youtu.be/Vj_y7N2BCQk➤COMO SER FELIZ NO AMOR? PARTE 1https://youtu.be/KNv-l5899KU➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ.  AULA 1/ A MENTE MASCULINA.https://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA 2/ OS MAIORES ERROS QUE AS MULHERES COMETEMhttps://youtu.be/8EnP_mLQeSc➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ .AULA 3 -DANÇA DA DUALIDADE FEMININAhttps://youtu.be/I7mwxZBNIdM➤COMO FAZER O HOMEM SE APAIXONAR POR VOCÊ. AULA -4 AÇÃOhttps://youtu.be/diEfQEneFMc===========================================================🔴 #relacionamentoamoroso #relacionamentoamoroso #amor #valor #conquistaramor #mulherbonita #comoconquistarumhomem #valorizada #amor #amar 🔻Me Encontre nas Redes Sociais🔻📸Instagram➤https://www.instagram.com/karinefloriana/📸Tiktok➤http://www.tiktok.com/ 🎬YouTube➤https://www.youtube.com/ 📸Linkedin➤www.linkedin.com/in/karinefloriana📸KWAI➤ https://kwai-video.com/u/ /n8XhvCfK",1
video_10201,Homem quando a mulher é Rodada o que pode acontecer #homem #homens #motivacao,1
video_10214,As gordinhas são especiais? | Thiago Schutz #shorts #reflexão #emagrecimento #amor #relacionamento,1
video_10245,A abundância do chad #homem #homens #homemdevalor #homemmoderno #motivação #,1
video_10259,"DEPOIS DE SE SEPRAR, FAZ COISAS QUE ANTES NÃO FAZIA QUANDO ERA CASADO #relacionamento #namoro #casamentonapraia #casal #masculino #macho#seduçao #machoalfa #redpilled #masculinidade #homemdevalor#redpillbrasil #namorosafado #conquistarmulheres #reconquistar #casamento#conquistarmulher #conquistarumamor #fabricioacunha #fabricioacunhamentor #machomacho#amor #cortespodcast #mulher #homem",1
video_10266,"Os Homens ACORDARAM! Agora São Eles Que Escolhem as Mulheres de Valor! ✅👉  Se você gostou do meu conteúdo e quer ajudar o Canal, faça a sua doação aqui: 👇👇👇 (Vai me ajudar muito 🙏)https://livepix.gg/fabricioacunha✅👉 VÍDEOS EXCLUSIVOS PARA MEMBROShttps://www.youtube.com/playlist?list=UUMOdVVI9mJUzGWShsD80poZMg✅👉 SEJA MEMBRO DO CANAL PARA LIVES E VÍDEOS EXCLUSIVOShttps://www.youtube.com/channel/UCdVVI9mJUzGWShsD80poZMg/join🚨 Os homens realmente mudaram ou as mulheres estão ficando desesperadas? 🚨Neste vídeo, analiso a nova realidade onde os homens estão cada vez mais espertos, identificando mulheres interesseiras e de baixo valor. Enquanto algumas mulheres reclamam que ""os homens estão frouxos e sem atitude"", a verdade é que eles simplesmente não querem mais perder tempo e energia com quem não tem nada a oferecer.📌 O que você vai ver neste vídeo:✔️ Por que os homens não abordam mais mulheres como antes✔️ O verdadeiro motivo pelo qual muitos preferem ficar solteiros✔️ Como os homens estão se valorizando e escolhendo melhor🔻 Comente aqui: Você acha que os homens estão certos em evitar certos tipos de relacionamento?⚠️ Se inscreva no canal e ative o sininho para mais vídeos sobre desenvolvimento masculino e mentalidade de sucesso!",1
video_10275,Nesse exato momento minha namorada está querendo desistir de um dos maiores sonhos da vida dela 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1
