original_id,original_prompt,llm_response
video_10060,Mais um personal pegando mulher casada 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1
video_10235,"O não vc já tem... #hackeandoamatrix #hackeandoamatrix #morenotatuado #homemdealtovalor        ⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:",1
video_10267,"Quem Se Importa mais com a Aparência? Homens ou Mulheres ? ... Clube De Membos Conteúdo Sem Censura Multiplataforma - https://abre.ai/maOVSua Atratividade Facial De 1-10? Obtenha Sua Analise 🔍😊👤💡📏https://abre.ai/iX8DAdiquira o Ebook ""Guia De Looksmaxxing De 10 Etapas""  👔✨📚📝👩‍🎨👨‍🎨📖https://abre.ai/iX8EAdiquira o Ebook "" Looksmaxxing De Maneira Errada"" GRATIS""   👔✨📚📝👩‍🎨https://abre.ai/iX8HMe Siga No Instagram  👣👉📸😊https://urlgeni.us/instagram/N0KqWMe Siga No TikTok  👣👉🎵😊https://urlgeni.us/tiktok/xcIwWMe Siga No Face 👣👉📘😊https://urlgeni.us/facebook/HEnL",1
video_10275,Nesse exato momento minha namorada está querendo desistir de um dos maiores sonhos da vida dela 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1
video_10335,"Raiam Santos Levou Fora De Uma TATUADA #hackeandoamatrix Hoje no moreno tatuado tem Raiam Santos tendo exposto por Xheli G, ela vazou prints de Raiam Santos xavecando ela, mas o curioso é que Xheli G tem muitas tatuagens, e Raiam Santos sempre declarou que não apreceia pessoas que usam tatuagens.         #hackeandoamatrix  #hackeandoamatrix #morenotatuado #homemdealtovalor⭐Seja membro para ter acesso a vídeos exclusívos por apenas $2,99 🤏     https://www.youtube.com/channel/UCDrGZXd8k06ifz0-gccIn0w/join-----------------------------------------------------------------------------------------------------------Esse é um canal de opinião, onde analiso dinâmicas sociais entre homens e mulheres do ponto de vista de um homem.Meu compromisso é dar minha contribuição sincera e respeitosa sobre assuntos da atualidade que interessam ao homem de alto valor.Quando o homem começa a seguir o próprio caminho aprende que precisa se manter bem informado.💊DEIXE O LIKE!                       💊SE INSCREVA!             👉Compartilhe esse vídeo com alguém que vc gosta:Se Isso For Verdade Raiam Santos é o MAIOR GADO de Todos os Temposhttps://youtu.be/f47FcnC0cqM",1
video_10386,AS MULHERES PROCURAM ISSO NOS HOMENS #relacionamento #sedução #namoro #conquistarmulheres #homem,1
video_10410,BRIGADEIRO E O DIA QUE QUASE PEGOU UMA TRANS,1
video_10425,Eu prefiro estar solteiro do que estar num relacionamento ruim 📕 - AntiOtário 🔱 - Código Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ComboManual,1
video_10449,Olhe para os seus irmãos com amor 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,1
video_10507,Homem de valor não está na balada #sedução #paquera #conquista #conquistar #homemdevalor #mulher,1
video_10521,Vai ter homem rico pra todo mundo? | Thiago Schutz #shorts #relacionamento #reflexão #amor #rico,1
video_10570,"Verdades sobre namorar um nerd 1- Adquira o Antiotário 📕2- Domine as lições do nosso livro 3- Faça parte do nosso grupo privado.➡️ https://manualantiotario.com/AntiOtário, livro de desenvolvimento pessoal mais vendido do país. 🫡",1
video_10600,Como jogar esse jogo sem iludir? | Thiago Schutz #shorts #reflexão #amor #mulher #verdade #jogo #fyp,1
video_10618,Você perdeu a admiração pelo seu marido? 🗿 - Antiotario🔱 - Masculino🚩 - Red Flags🔞 - Antiporn*🧘 - Lições Perpétuas🔐 - Entrada no Grupo PrivadoEsse é apenas o começo! 📚🗿👇🔗 | https://hotm.art/ImperioCombo,1
video_10871,"O Paradoxo do Amor: Homens Honestos Sofrem, Enquanto os ""Safados"" Se Dão Bem! Explore a complexa dinâmica da atração e do valor nos relacionamentos. Discutimos a frustração de homens honestos que se sentem desvalorizados, enquanto observam mulheres se interessarem por homens com comportamentos questionáveis. Analisamos possíveis razões por trás dessa dinâmica, desde a busca por novidade e desafio até a influência de experiências passadas. #homemhonesto #naovalorizado #mulheres #homensquetesta #canalhas #atração #relacionamento #desilusão #verdadesocultas #dinamicadosrelacionamentos",1
