id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade
comentario_1368557,fico triste com uma noticia dessas ;),0,0
comentario_1766955,"Macaco velho não põe a mão na cumbuca, não pula em galho seco e não entra em arapuca!!!!! Eu estou assim!!!😂😂😂😂",0,0
comentario_1779107,Miquéias Endrick Enzo da Silva Jr.,0,0
comentario_980477,Mas têm os casos em que o ex é quem faz questão de pagar pensão pra filha da ex que o pai biológico não paga. Terminei o relacionamento com um assim. A ex vivia ligando cobrando algo e ele achava que estava certo. Saí fora! Acho que pagava a pensão pra filha pra continuar tendo acesso à mãe! Ora se não!,0,1
comentario_659913,Vc constrói tijolo por tijolo pra ver ele usufruir com outra ...,0,0
comentario_2725553,Aberta a temporada de caça aos destacados!,0,0
comentario_37818,"Parabéns para a "" justiça brasileira "". Vcs são chacota no Brasil. Pior justiça do mundo. Temos leis para serem seguidas, mais no final quem manda em tudo é delegado, Juiz e promotor, ele julgam dão a sentença, sem importar a lei q foi quebrada.",0,1
comentario_3029276,Cheguei mais rápido que modernete colocando short atolado pra ir no mercado com o Miqueias.,1,1
comentario_768708,"Me desculpa Espectro, eu tentei ouvir até o fim, mas é impossível. Te colocaram contra um papagaio conectado a um gerador de lero-lero.A pessoa literalmente ignora tudo que a Especto diz e começa a pregar suas teorias sociais de 100 anos atrás como se fossem fatos (spoiler: não são). Não sei se ela de fato não entendeu ou se o repertório só permite repetir as mesmas frases o tempo todo como se fizessem sentido em todos os contextos.",0,1
comentario_1342166,Isso só serve para fazer sabão 😂😂😂😂,0,0
comentario_2787244,"@ -gz6yi Se é possível para você, que é homem, é também para uma mulher, aliás pelo tamanho do Brasil e sua quantidade de mulheres, impossível é seguir esse seu ceticismo.",0,0
comentario_2626671,"Faça o seguinte; quando chamar uma ""mulher"" pra sair, fale a ela que vc não é o pai delas e que você vai pagar apenas a sua parte! Assim ela irá levar a parte dela, vocês almoçam, conversam, cada um paga o seu e no fim cada um vai pra sua casa. Ponto! Não tem segredo, é só falar antes de convidar, espero ter ajudado.",1,0
comentario_1964563,"Namoro, casamento e filhos não servem pra nada na vida de um homem pois é só despesa financeira e muita dor de cabeça pro homem ter mulher dentro de casa. Eu por exemplo, só me relaciono com garotas de programa pois gastamos menos e nos divertimos mais nesta vida. Lembrem-se que mulher não gosta de homem, elas gostam é de dinheiro. E além do mais, a maioria esmagadora das mulheres são feministas, narcisistas, tóxicas e abusivas e ainda pregam o ódio contra nós homens dizendo que não prestamos, temos que morrer e desaparecer da face da terra. HOMENS, não se iludam com essas mulheres/feministas, narcisistas, tóxicas e abusivas atualmente, pois se você quiser ter sérios e graves problemas na sua vida, passar por situações idênticas e muito piores a que outros homens estão passando ou já passaram, se tornar refém, ter a sua vida transformada num caos, num calvário, num inferno, perder a sua paz, a sua sanidade mental, a sua tranquilidade, a sua qualidade de vida, sua saúde, suas forças, suas ótimas noites de sono, seu bem-estar, sua alegria de viver, seu sossego, a sua liberdade, seu dinheiro/patrimônio, sofrer falsas acusações e ainda poder ser preso. É muito fácil: seja mais um a cair no golpe do namoro firme, do ficar noivo, do morar juntos e do casamento. Não tem erro, a sua vida nunca mais será a mesma. Assim, além de sofrer horrores, você descobrirá pela dor o quanto ser um homem solteiro convicto é uma dádiva, é maravilhoso e é acima de tudo a suprema felicidade. A vida é feita de escolhas. Então, faça as suas!!! REDPILL AND MGTOW FOREVER.",1,1
comentario_1871477,Depois que ficar bem financeiramente vc acha que vou querer interesseira? Sai pra lá!,1,1
comentario_2242173,"Juliana é kinder ovo vem com uma surpresa no meio,cuidado senhores estão cada vez mais disfarçada querendo nos enganar 😂😂😂😂😂😂",1,1
comentario_65750,"@  sou ateu não. 😂. Acredito em Deus. Agora que a Terra tem 6000 anos, que a Bíblia está sempre certa (e não uma alegoria) e que o Universo foi feito pronto, e o pior, esse jeito do Eberlin de debater ofendendo o interlocutor não vai converter ninguém. Inclusive acho que presta um desserviço, pois estimula o materialismo, o que no meu modo de ver é o verdadeiro perigo desse fanatismo dele.",0,1
comentario_1796969,Exatamente..Eu penso assim.. só que no momento não tem á ver com minha realidade pois sou mãe solteira e preciso ser provedora..aliás nós mães solteiras temos q ser de tudo. Só q infelizmente não somos super heroínas e algum momento algo não vai sair tão bem feito né...q isso não seja o amor e criação d nossos filhos.,0,0
comentario_821334,tá caro não compra só imbecil pra achar isso certo feito os petistas alienados idiotas,0,1
