comentario,final_toxicidade
Esse chad guatemalteco nunca me convenceu.,1
"O despertar não é pra todos, mas estou confiante que muitos irão acordar de um jeito ou de outro. Tenho um colega que vejo na academia e após uma separação traumática pra ele, o mesmo continua a sair com modernetes na ilusão de ser o pegador. Ganhou uma gonorréia, estou tentando mostrar a realidade pra ele em doses homeopáticas pois tentei um tratamento de choque e ele espanou.",1
QUEM VIVER. mais de 30 anos.vai assistir.o fim de uma sociedade .o futuro. não será bonito. Com a baixa natalidade. o Estado  vai criar leis  terríveis  para quem não tem filhos.as mulheres serão  obrigadas a terem 2 filhos ate 25 anos. essas mulheres trabalharão  só 4 horas. e ganhará mais do que  as que não tiverem filhos. todos homens e mulheres que  não  tiveram filhos terão  impostos triplicados. e dificuldades. de arrumar emprego.   Para ter uma idéia  na minha família. as mulheres estão tendo uma média. de 1.2 filhos até os 40 anos.  EU  tive 3 filhas.e uma teve um casal de filhos.as outras duas  optaram.ficar para titia. .Repetindo  essa sociedade  viverá mudanças  drásticas. nesse século. eu mesmo  separei a 4.anos e meio.  e  estou vivendo com meus cachorros.,0
CAPAZZZZ!!! HOMEM SE SUBMETER A ISSO 😢😢😢,0
"É maior furada se o homem ficar agindo dessa forma, então o melhor a se fazer é ser um homem sagaz e de valor.",0
"  tá n mn, tipo eu entendo q n precisa escrever bem no yt e pd abreviar, mas algumas coisas são obrigatórias...",0
"Alguns homens nos comentários falando que a mulher só presta se trabalhar em casa e que mulher que trabalhar fora trai homem. Aí depois vem aqui chorar que a carga fica só em cima dos homens. Nunca estão satisfeitos e provavelmente os mesmos que reclamam reclamam de tudo, mulher nenhuma quer, nunca estão felizes com o desejo da mulher, só com o que eles mesmo pensam. Francamente…..",0
Você tá doida para fazer isso aí você pega um jumento aquele jegue bem tarado mesmo que ele apaga até o fogo 😂😂😂😂,1
Fake... foca em mostrar mulheres pilantras que essa é sua praia.,1
"O soldado engatou a primeira e puxou o carro.Literalmente.A ordinária não deu um real, chegou sentando na janelinha e já quer se apossar 😂😂😂 😂😂 nojenta demais.",1
Se ja pensou na traição o casamento ja acabou nesse exato momento 😂😂😂😂,0
Parabéns mulheronas empoderadas....,0
"A mulher tem a chave do sexo é o homem a chave do relacionamento, não tem nada mais desconfortável saber q todo mundo pegou e vc está c aquela pessoa .. não da.",1
"Vc falou uma pura vdd. Claro que tem exceção, mas a maioria da mulherada pensa assim.",1
"Muita gente não sabe, mas quando o cara é preso, só pode ser no máximo por 3 ou 6 meses (não me recordo) e a dívida morre caso ele fique preso esse período.",0
Sabe lá  o que  o espera lá  dentro. Tem que desconfiar  mesmo oferecida 😂😂,1
"   desse canal que posta muito assuntos negativos em relação as mulheres, sempre vejo esse homem nos vídeos desse canal. Note isso você mesmo e veja a expressão facial dele nos vídeos do canal que só aborda assuntos negativos referente as mulheres. Ele está passando uma imagem negativa sobre mulheres expondo somente assuntos que geram comentários de depreciação as mulheres.",0
Mandala no meio dos peitos é a redflag mais letal,1
"@  ué, mas esse sotaque não é exclusivo de Curitiba. Praticamente todo o planalto da região sul fala assim",0
"Só não entendi o rapaz com uma taça de vinho na mão, com essa cara sarcástica",0
Tinha o dever de pensar em tudo e avaliar as consequências. Se tem cabeça é para pensar direito e não só em infidelidade.😅,0
"Se ela não fizer o mesmo por ele, o homem deverá deixá-la imediatamente.",0
"QUANDO UMA MULHER FALA QUE TRANSOU COM APENAS 2 HOMENS, significa que ela deu apenas para dois betas provedores. Elas EXCLUIU DA CONTA todo os CAFAGESTES, todas as FODAS CASUAIS que deram, OS ANAIS GIRATÓRIOS, gargarejadas de porras e AS FODAS QUE NINGUEM SABE QUE OCORREU. As mulheres que se fazem de santinhas, quando estão longe de conhecidos agem sem freios morais. As mulheres que parece mais santinhas, quando estão longe de conhecidos são as mais perversas.https://youtu.be/chljBCFv5HA?si=Vw6vNaNAA-W8iJNe",1
"A mina é virgem, eita cara sortudo viu, isso é raro...",1
"Já vi esse filme, aconteceu com o Amaral a única diferença é que uma é loira e a outra japonesa 😂 se liga mano fica ativo",0
"Infelizmente tem pessoas com autotima muito baixoQue tem que chamar antenção.Ela precisa de ajuda,Não de critica.🙏",0
YouTube e seus vídeo motivacionais kkkk,0
"As pessoas q  dão desânimo e palavras negativas,são as mesma q te daí sorrisos amarelo ou te falam sempre o q vc quer ouvir,palavras doce,mas aquele q te fortalece sempre  e q te dá ânimo essas são as pessoas q querem o teu sucesso, parabéns por vc seguir com teu sonho.",0
Justiça antigamente era só para ricos hoje mudou 😂😂😂 é para ricos e mulheres..Deveria é ser presa e ainda devolver tudo que recebeu indevidamente.,1
"Amorim, tem a senha sou fã, pra caralho",0
Além de Chad O cara ainda tem que ser mago pra adivinhar o que ela quer ouvir 🌚Essa “nobre” mediana está mesmo precisando de terapia.,1
"Mano você tem que parar com isso, eu acho tão repugnante isso, que quase dou deslike no seu vídeo😂😂😂",1
Olá abaixa o aplicativo da rádio da TV novo tempo para você ouvir a palavra de Deus 24 horas em espanhol tem inglês isso mesmo mande para mais pessoas ler a Bíblia que a carta de Deus Apocalipse 14:12 e êxodo capítulo 21 a 11 leia também Ezequiel capítulo 20 e versículo 12:20,0
Três oito ficou 71 nesse debate ! Perdido e se contradizendo em tudo,1
"É por isso que eu nunca continuei qmigo de ex em rede social.Terminou,eu não quero nem um bom dia.Ela segue o rumo dela e eu o meu.Quando vi esse post ey lembrei da minha última ex...Teeminou e ainda continuei falando ckm ela quase todo dia..Ela todo momento mandando mensagem,fim de semana fiavava perguntado se wu tava saindo,se ia sair(tipo monitorando) a mina tava manipulando,a ponto de wu mesmo ser ter mais poha nemhuma com ela,eu ripo nao saia com ninguém,nao flertava com ninguém..Um belo dia eu acordei de amanhã,dei um block nela em todas redes sociais e fyi vivwr minha vida.Puts ,parece que eu tinha tirado uma bola de ferro dos pés.",0
"Ou seja, só a palavra dela ja basta",0
"@  É um vídeo para exemplificar como as coisas devem funcionar, é uma vídeo ilustrativo, e óbvio, combinado com a esposa e a mãe. É claro que no dia a dia ele não deve fazer isso, pois cada uma dos partes já conhece seus devidos lugares e papéis na família. A senhora não entendeu a mensagem.",0
"Cara o maluco já disse q n era pobre ele é herdeiro de milhões  cara  acorda pra vida, e todas as mulheres em algum nível são  feministas",1
"A intenção deve ser essa pq se tem vídeo,  17 pessoas,  o dono da academia todos testemunhas,  o que a polícia precisa mais pra entender que esse não fez nada e essa puta tá bancando a secretaria do demônio destruindo famílias prendendo um inocente enfim ou a justiça tá mesmo cega  ou própria justiça se rendeu a maldade e a difamação das famílias.",1
Qem nunca ouviu um demonio falar oia ai  um falando,0
O melhor é o espanhol dela!Kkkk,0
É muito excesso de infantilidade.,1
"justo, elas fazem isso a séculos, nós tbm podemos",0
o ruim é quando a gente tenta e não da certo.,0
Ele foi burro demais. Dava pra fazer um relato fod4. Mas nem  todo mundo tem tanto discernimento.,1
Em retribuição vai ganhar um par de guampa,1
Verdade é  tempo de despertar  cambada,0
"​Sabem disfarçar bem, uma grande parcela rejeita e não é endeusado pela mídia. Já no Brasil se tornou normal e é aplaudido de pé pela maioria dos bonobos com 80 de QI.   ",1
Isso daí são tipos de mulher que precisa de atenção dos homens.mulher não precisa disso pra chamar atenção,1
"Parabéns pelo canal! 1° Sem faculdade ,2°Sem CNH, 3°Sem veículo, 4°Sem residência própria, 5° dependente e tem dependente. #ESTOU FORA",1
"Sábias palavras, mas as migles escolheram Barrabás e isso é mais real do que ensinar as migles, empresárias socialite a quererem algo pelo menos bom.",1
"  Olhamos coisas boas na mulher. Quem vai querer uma mulher só de beleza, mas não faz nada, não contribuiu com nada etc.",0
"Meu deus eu tenho eh odio de gnt sem nocao q submete a oripria vida em troca de ser besta na eua dirige mal e ainda quer ter razao e nao sabe se contentar com nada, e fica faznd prezepada nan sinceramente",1
Cara fala bobagem mulher de valor ñ aceita vagabundo não,1
Isso merece uma SALVA DE PALMA! DE PE!❤,0
A mulher ?? Saco !!! Tem que ter saco pravaturar esse bando de.mimizento do caralh@,1
FALTOU FALAR DAQUELA BOCA DE PATO QUE VÁRIAS MULHERES FAZEM  E FICA HORRÍVEL MEU DEUS! 🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️,1
"Apesar da dor e tristeza inegáveis evidentes na voz embargada,chorosa e saudosa e nos olhos marejados e tristes, que privilégio terem vivido um amor assim, que ele encontre forças pra suportar com algum alento a falta de sua esposa até que 😮 tbm.possa descansar seu coração e sua mente(alma). Acredito que em seu lugar eu desejaria isso.E parabéns pela postagem do vídeo!!😢😢",0
"Muitos podem alegar que isso é culpa dos próprios redpills pelas coisas que falam MAS, mesmo que eles não dissessem NADA, ainda assim taxariam os homens de misóginos, pois até nossa respiração é vista assim...",1
Melhor coisa: aplicar o dinheiro e pagar aluguel!,0
