model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Zero-Shot (Teste 1). portugues sem conceito,"0.679 (0.660, 0.697)","0.725 (0.700, 0.749)","0.637 (0.616, 0.658)","0.933 (0.911, 0.955)","0.559 (0.536, 0.582)","0.699 (0.677, 0.721)","0.424 (0.407, 0.441)","0.890 (0.854, 0.927)","0.574 (0.552, 0.597)"
LLama Zero-Shot (Teste 2) ingles sem conceito,"0.704 (0.682, 0.726)","0.761 (0.732, 0.790)","0.687 (0.663, 0.712)","0.937 (0.913, 0.960)","0.640 (0.617, 0.663)","0.761 (0.739, 0.782)","0.472 (0.449, 0.494)","0.881 (0.837, 0.925)","0.614 (0.586, 0.643)"
"LLama Zero-Shot (Teste 3), portugues com conceito","0.715 (0.691, 0.739)","0.775 (0.743, 0.806)","0.703 (0.678, 0.729)","0.942 (0.917, 0.968)","0.661 (0.639, 0.682)","0.777 (0.756, 0.797)","0.488 (0.464, 0.513)","0.889 (0.840, 0.938)","0.630 (0.599, 0.662)"
"LLama Zero-Shot (Teste 4), ingles  com conceito","0.736 (0.714, 0.758)","0.754 (0.731, 0.777)","0.743 (0.721, 0.766)","0.875 (0.862, 0.889)","0.833 (0.818, 0.848)","0.854 (0.840, 0.868)","0.596 (0.565, 0.628)","0.675 (0.642, 0.707)","0.633 (0.601, 0.665)"
LLama Few-Shot (Teste 1),"0.704 (0.694, 0.713)","0.752 (0.738, 0.767)","0.661 (0.638, 0.683)","0.956 (0.950, 0.962)","0.580 (0.542, 0.617)","0.717 (0.688, 0.746)","0.451 (0.431, 0.471)","0.925 (0.911, 0.939)","0.604 (0.588, 0.620)"
LLama Few-Shot (Teste 2),"0.709 (0.699, 0.718)","0.760 (0.745, 0.775)","0.671 (0.648, 0.693)","0.958 (0.952, 0.963)","0.594 (0.557, 0.631)","0.729 (0.700, 0.758)","0.460 (0.440, 0.479)","0.926 (0.913, 0.939)","0.612 (0.596, 0.628)"
LLama Few-Shot (Teste 3),"0.719 (0.709, 0.729)","0.776 (0.763, 0.789)","0.700 (0.681, 0.718)","0.951 (0.944, 0.957)","0.646 (0.616, 0.676)","0.767 (0.745, 0.788)","0.488 (0.469, 0.507)","0.907 (0.894, 0.921)","0.633 (0.617, 0.648)"
LLama Few-Shot (Teste 4),"0.716 (0.706, 0.726)","0.772 (0.757, 0.787)","0.688 (0.667, 0.710)","0.956 (0.950, 0.963)","0.623 (0.588, 0.657)","0.751 (0.724, 0.778)","0.476 (0.457, 0.496)","0.920 (0.906, 0.934)","0.626 (0.609, 0.642)"
LLama Few-Shot Embeddings RoBERTa (Teste 1),"0.685 (0.668, 0.703)","0.733 (0.710, 0.757)","0.645 (0.623, 0.667)","0.939 (0.921, 0.957)","0.567 (0.543, 0.591)","0.707 (0.685, 0.730)","0.431 (0.414, 0.449)","0.900 (0.871, 0.928)","0.583 (0.562, 0.604)"
LLama Few-Shot Embeddings RoBERTa (Teste 2),"0.693 (0.677, 0.709)","0.742 (0.718, 0.766)","0.650 (0.619, 0.681)","0.950 (0.940, 0.959)","0.566 (0.518, 0.613)","0.709 (0.671, 0.747)","0.436 (0.410, 0.462)","0.918 (0.903, 0.933)","0.591 (0.567, 0.615)"
LLama Few-Shot Embeddings RoBERTa (Teste 3),"0.695 (0.680, 0.709)","0.746 (0.727, 0.765)","0.658 (0.643, 0.673)","0.947 (0.929, 0.965)","0.581 (0.569, 0.594)","0.720 (0.708, 0.733)","0.442 (0.430, 0.455)","0.911 (0.881, 0.941)","0.595 (0.578, 0.613)"
LLama Few-Shot Embeddings RoBERTa (Teste 4),"0.699 (0.679, 0.719)","0.752 (0.727, 0.777)","0.665 (0.645, 0.686)","0.949 (0.921, 0.978)","0.591 (0.561, 0.622)","0.729 (0.706, 0.751)","0.449 (0.431, 0.467)","0.913 (0.863, 0.963)","0.602 (0.579, 0.624)"
LLama Few-Shot Embeddings BERTimbau (Teste 1),"0.672 (0.652, 0.691)","0.709 (0.681, 0.738)","0.609 (0.576, 0.642)","0.940 (0.919, 0.960)","0.508 (0.460, 0.556)","0.659 (0.617, 0.701)","0.404 (0.380, 0.427)","0.911 (0.881, 0.941)","0.559 (0.534, 0.584)"
LLama Few-Shot Embeddings BERTimbau (Teste 2),"0.683 (0.669, 0.696)","0.723 (0.702, 0.743)","0.620 (0.593, 0.647)","0.953 (0.935, 0.971)","0.516 (0.469, 0.563)","0.669 (0.631, 0.707)","0.412 (0.393, 0.432)","0.929 (0.899, 0.959)","0.571 (0.553, 0.589)"
LLama Few-Shot Embeddings BERTimbau (Teste 3),"0.683 (0.662, 0.704)","0.727 (0.697, 0.757)","0.632 (0.599, 0.665)","0.944 (0.924, 0.965)","0.541 (0.493, 0.590)","0.688 (0.647, 0.728)","0.421 (0.395, 0.447)","0.913 (0.878, 0.947)","0.576 (0.549, 0.603)"
LLama Few-Shot Embeddings BERTimbau (Teste 4),"0.686 (0.665, 0.707)","0.734 (0.705, 0.763)","0.646 (0.614, 0.679)","0.940 (0.921, 0.958)","0.569 (0.522, 0.616)","0.708 (0.670, 0.747)","0.433 (0.405, 0.461)","0.900 (0.870, 0.929)","0.584 (0.556, 0.613)"
LLama Few-Shot Embeddings MiniLM (Teste 1),"0.692 (0.670, 0.713)","0.742 (0.713, 0.772)","0.657 (0.621, 0.694)","0.940 (0.928, 0.952)","0.587 (0.534, 0.639)","0.722 (0.680, 0.764)","0.443 (0.410, 0.476)","0.898 (0.879, 0.916)","0.593 (0.562, 0.624)"
LLama Few-Shot Embeddings MiniLM (Teste 2),"0.703 (0.684, 0.722)","0.756 (0.730, 0.782)","0.665 (0.637, 0.694)","0.957 (0.943, 0.971)","0.585 (0.548, 0.621)","0.726 (0.694, 0.757)","0.449 (0.424, 0.475)","0.927 (0.905, 0.950)","0.605 (0.578, 0.632)"
