model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Zero-Shot (Teste 1). portugues sem conceito,"0.594 (0.581, 0.607)","0.644 (0.624, 0.665)","0.538 (0.522, 0.554)","0.899 (0.883, 0.916)","0.516 (0.493, 0.540)","0.656 (0.637, 0.675)","0.289 (0.277, 0.301)","0.772 (0.729, 0.815)","0.420 (0.403, 0.437)"
LLama Zero-Shot (Teste 2) ingles sem conceito,"0.601 (0.591, 0.611)","0.656 (0.639, 0.672)","0.570 (0.559, 0.581)","0.894 (0.880, 0.908)","0.586 (0.559, 0.612)","0.707 (0.690, 0.724)","0.308 (0.299, 0.317)","0.726 (0.678, 0.773)","0.432 (0.418, 0.446)"
"LLama Zero-Shot (Teste 3), portugues com conceito","0.623 (0.592, 0.654)","0.670 (0.628, 0.712)","0.627 (0.592, 0.663)","0.881 (0.859, 0.902)","0.730 (0.694, 0.766)","0.798 (0.772, 0.824)","0.365 (0.324, 0.407)","0.610 (0.536, 0.685)","0.457 (0.407, 0.506)"
"LLama Zero-Shot (Teste 4), ingles  com conceito","0.673 (0.632, 0.713)","0.674 (0.632, 0.716)","0.673 (0.632, 0.714)","0.868 (0.850, 0.886)","0.866 (0.848, 0.883)","0.867 (0.851, 0.883)","0.477 (0.414, 0.540)","0.483 (0.410, 0.556)","0.480 (0.414, 0.546)"
LLama Few-Shot (Teste 1),"0.584 (0.577, 0.591)","0.593 (0.582, 0.604)","0.403 (0.380, 0.427)","0.925 (0.913, 0.936)","0.281 (0.247, 0.315)","0.424 (0.383, 0.465)","0.243 (0.237, 0.249)","0.905 (0.883, 0.927)","0.383 (0.376, 0.390)"
LLama Few-Shot (Teste 2),"0.585 (0.580, 0.591)","0.598 (0.587, 0.609)","0.411 (0.389, 0.433)","0.925 (0.917, 0.934)","0.290 (0.259, 0.321)","0.436 (0.398, 0.474)","0.246 (0.240, 0.252)","0.906 (0.889, 0.922)","0.386 (0.379, 0.393)"
LLama Few-Shot (Teste 3),"0.591 (0.585, 0.597)","0.614 (0.603, 0.626)","0.445 (0.423, 0.468)","0.926 (0.916, 0.935)","0.343 (0.307, 0.378)","0.493 (0.455, 0.532)","0.257 (0.249, 0.264)","0.886 (0.863, 0.910)","0.397 (0.389, 0.405)"
LLama Few-Shot (Teste 4),"0.588 (0.582, 0.594)","0.612 (0.600, 0.624)","0.444 (0.421, 0.467)","0.921 (0.913, 0.929)","0.342 (0.306, 0.378)","0.492 (0.453, 0.531)","0.256 (0.248, 0.263)","0.882 (0.861, 0.904)","0.396 (0.387, 0.404)"
LLama Few-Shot Embeddings RoBERTa (Teste 1),"0.586 (0.566, 0.606)","0.593 (0.582, 0.605)","0.403 (0.356, 0.450)","0.930 (0.887, 0.973)","0.278 (0.197, 0.358)","0.423 (0.333, 0.514)","0.243 (0.233, 0.252)","0.909 (0.837, 0.982)","0.383 (0.374, 0.391)"
LLama Few-Shot Embeddings RoBERTa (Teste 2),"0.592 (0.572, 0.613)","0.610 (0.596, 0.624)","0.431 (0.389, 0.474)","0.933 (0.890, 0.976)","0.317 (0.239, 0.396)","0.470 (0.386, 0.553)","0.252 (0.243, 0.260)","0.902 (0.820, 0.984)","0.393 (0.383, 0.403)"
LLama Few-Shot Embeddings RoBERTa (Teste 3),"0.593 (0.575, 0.610)","0.614 (0.600, 0.627)","0.441 (0.394, 0.487)","0.931 (0.892, 0.969)","0.332 (0.246, 0.419)","0.486 (0.397, 0.574)","0.254 (0.243, 0.266)","0.895 (0.817, 0.972)","0.396 (0.385, 0.406)"
LLama Few-Shot Embeddings RoBERTa (Teste 4),"0.588 (0.569, 0.607)","0.613 (0.587, 0.640)","0.449 (0.406, 0.493)","0.921 (0.888, 0.953)","0.349 (0.275, 0.423)","0.503 (0.427, 0.580)","0.255 (0.240, 0.271)","0.878 (0.810, 0.945)","0.395 (0.377, 0.414)"
LLama Few-Shot Embeddings BERTimbau (Teste 1),"0.591 (0.574, 0.607)","0.618 (0.590, 0.646)","0.452 (0.419, 0.485)","0.924 (0.902, 0.946)","0.348 (0.302, 0.395)","0.505 (0.455, 0.555)","0.257 (0.243, 0.271)","0.887 (0.855, 0.920)","0.399 (0.380, 0.417)"
LLama Few-Shot Embeddings BERTimbau (Teste 2),"0.590 (0.573, 0.608)","0.620 (0.590, 0.650)","0.458 (0.425, 0.492)","0.921 (0.901, 0.942)","0.360 (0.315, 0.404)","0.517 (0.469, 0.564)","0.259 (0.243, 0.275)","0.880 (0.854, 0.906)","0.400 (0.379, 0.421)"
LLama Few-Shot Embeddings BERTimbau (Teste 3),"0.597 (0.586, 0.607)","0.631 (0.614, 0.649)","0.473 (0.447, 0.500)","0.927 (0.913, 0.942)","0.380 (0.337, 0.423)","0.539 (0.496, 0.582)","0.266 (0.255, 0.277)","0.882 (0.853, 0.912)","0.408 (0.395, 0.421)"
LLama Few-Shot Embeddings BERTimbau (Teste 4),"0.601 (0.592, 0.611)","0.642 (0.626, 0.658)","0.490 (0.470, 0.510)","0.930 (0.918, 0.942)","0.404 (0.373, 0.436)","0.563 (0.533, 0.594)","0.273 (0.263, 0.283)","0.880 (0.856, 0.904)","0.417 (0.405, 0.428)"
LLama Few-Shot Embeddings MiniLM (Teste 1),"0.572 (0.558, 0.586)","0.588 (0.567, 0.608)","0.417 (0.380, 0.453)","0.903 (0.883, 0.923)","0.306 (0.251, 0.360)","0.455 (0.393, 0.517)","0.242 (0.230, 0.253)","0.870 (0.828, 0.913)","0.378 (0.363, 0.393)"
LLama Few-Shot Embeddings MiniLM (Teste 2),"0.573 (0.563, 0.583)","0.589 (0.582, 0.597)","0.422 (0.400, 0.443)","0.903 (0.883, 0.923)","0.314 (0.274, 0.354)","0.465 (0.422, 0.507)","0.243 (0.237, 0.248)","0.865 (0.821, 0.909)","0.379 (0.372, 0.385)"
LLama Few-Shot Embeddings MiniLM (Teste 3),"0.586 (0.572, 0.599)","0.614 (0.600, 0.628)","0.459 (0.443, 0.474)","0.914 (0.891, 0.938)","0.366 (0.332, 0.400)","0.522 (0.490, 0.554)","0.257 (0.250, 0.263)","0.863 (0.811, 0.915)","0.396 (0.385, 0.406)"
LLama Few-Shot Embeddings MiniLM (Teste 4),"0.587 (0.579, 0.595)","0.620 (0.608, 0.631)","0.470 (0.447, 0.493)","0.913 (0.898, 0.929)","0.384 (0.342, 0.426)","0.540 (0.499, 0.581)","0.261 (0.253, 0.268)","0.856 (0.817, 0.894)","0.400 (0.392, 0.407)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 1),"0.587 (0.576, 0.599)","0.605 (0.586, 0.625)","0.426 (0.393, 0.459)","0.926 (0.907, 0.944)","0.309 (0.259, 0.358)","0.462 (0.406, 0.517)","0.249 (0.239, 0.259)","0.902 (0.870, 0.934)","0.390 (0.378, 0.402)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 2),"0.592 (0.581, 0.603)","0.614 (0.595, 0.633)","0.437 (0.406, 0.469)","0.931 (0.913, 0.948)","0.323 (0.275, 0.371)","0.478 (0.425, 0.532)","0.254 (0.244, 0.263)","0.904 (0.872, 0.937)","0.396 (0.385, 0.407)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 3),"0.587 (0.578, 0.597)","0.614 (0.597, 0.632)","0.452 (0.417, 0.488)","0.918 (0.902, 0.935)","0.354 (0.294, 0.413)","0.509 (0.448, 0.570)","0.256 (0.244, 0.268)","0.875 (0.834, 0.917)","0.396 (0.384, 0.408)"
LLama Few-Shot Embeddings Qwen3 - 0.6B (Teste 4),"0.594 (0.584, 0.605)","0.628 (0.611, 0.644)","0.470 (0.441, 0.500)","0.925 (0.906, 0.944)","0.378 (0.325, 0.430)","0.535 (0.484, 0.586)","0.264 (0.254, 0.274)","0.878 (0.831, 0.924)","0.406 (0.394, 0.417)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 1),"0.598 (0.581, 0.615)","0.637 (0.610, 0.665)","0.488 (0.450, 0.527)","0.924 (0.905, 0.944)","0.407 (0.345, 0.469)","0.564 (0.506, 0.621)","0.272 (0.251, 0.292)","0.868 (0.825, 0.910)","0.413 (0.390, 0.437)"
LLama Few-Shot Embeddings Qwen3 - 4B (Teste 2),"0.601 (0.571, 0.631)","0.644 (0.594, 0.694)","0.498 (0.439, 0.557)","0.925 (0.898, 0.952)","0.421 (0.340, 0.501)","0.576 (0.499, 0.654)","0.277 (0.242, 0.312)","0.867 (0.824, 0.911)","0.420 (0.376, 0.463)"
