model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Zero-Shot (Teste 1). portugues sem conceito,"0.699 (0.673, 0.725)","0.664 (0.640, 0.689)","0.616 (0.589, 0.642)","0.869 (0.835, 0.904)","0.416 (0.386, 0.445)","0.562 (0.529, 0.596)","0.528 (0.510, 0.546)","0.913 (0.892, 0.934)","0.669 (0.649, 0.689)"
LLama Zero-Shot (Teste 2) ingles sem conceito,"0.721 (0.700, 0.741)","0.654 (0.642, 0.667)","0.587 (0.572, 0.602)","0.928 (0.892, 0.964)","0.347 (0.324, 0.369)","0.504 (0.481, 0.528)","0.513 (0.505, 0.522)","0.962 (0.942, 0.982)","0.669 (0.659, 0.679)"
"LLama Zero-Shot (Teste 3), portugues com conceito","0.734 (0.700, 0.769)","0.735 (0.700, 0.771)","0.716 (0.681, 0.752)","0.852 (0.813, 0.891)","0.622 (0.583, 0.661)","0.719 (0.682, 0.756)","0.616 (0.584, 0.649)","0.849 (0.807, 0.891)","0.714 (0.680, 0.749)"
"LLama Zero-Shot (Teste 4), ingles  com conceito","0.725 (0.700, 0.749)","0.696 (0.673, 0.718)","0.699 (0.675, 0.723)","0.720 (0.701, 0.739)","0.858 (0.832, 0.883)","0.783 (0.767, 0.799)","0.729 (0.693, 0.765)","0.533 (0.489, 0.578)","0.615 (0.581, 0.650)"
LLama Few-Shot (Teste 1),"0.737 (0.728, 0.746)","0.726 (0.713, 0.738)","0.698 (0.681, 0.715)","0.873 (0.857, 0.889)","0.574 (0.533, 0.614)","0.686 (0.660, 0.712)","0.601 (0.582, 0.620)","0.878 (0.855, 0.900)","0.711 (0.701, 0.720)"
LLama Few-Shot (Teste 2),"0.737 (0.729, 0.746)","0.716 (0.703, 0.729)","0.680 (0.662, 0.698)","0.894 (0.879, 0.908)","0.523 (0.484, 0.562)","0.654 (0.626, 0.682)","0.581 (0.564, 0.598)","0.908 (0.889, 0.927)","0.707 (0.697, 0.716)"
LLama Few-Shot (Teste 3),"0.740 (0.732, 0.748)","0.738 (0.729, 0.747)","0.720 (0.709, 0.730)","0.854 (0.837, 0.871)","0.634 (0.603, 0.665)","0.724 (0.707, 0.740)","0.626 (0.611, 0.641)","0.843 (0.815, 0.870)","0.716 (0.707, 0.724)"
LLama Few-Shot (Teste 4),"0.740 (0.732, 0.748)","0.740 (0.730, 0.749)","0.723 (0.711, 0.735)","0.848 (0.833, 0.863)","0.647 (0.615, 0.679)","0.730 (0.712, 0.748)","0.632 (0.616, 0.648)","0.833 (0.808, 0.858)","0.716 (0.707, 0.725)"
LLama Few-Shot Embeddings RoBERTa (Teste 1),"0.724 (0.687, 0.762)","0.718 (0.684, 0.752)","0.692 (0.661, 0.724)","0.860 (0.808, 0.912)","0.566 (0.542, 0.589)","0.682 (0.652, 0.712)","0.589 (0.565, 0.613)","0.870 (0.816, 0.924)","0.702 (0.668, 0.736)"
LLama Few-Shot Embeddings RoBERTa (Teste 2),"0.727 (0.694, 0.761)","0.710 (0.680, 0.741)","0.676 (0.646, 0.706)","0.882 (0.835, 0.928)","0.518 (0.486, 0.550)","0.652 (0.618, 0.686)","0.573 (0.550, 0.595)","0.902 (0.861, 0.943)","0.701 (0.673, 0.728)"
LLama Few-Shot Embeddings RoBERTa (Teste 3),"0.731 (0.701, 0.761)","0.728 (0.701, 0.755)","0.706 (0.681, 0.730)","0.858 (0.812, 0.905)","0.595 (0.564, 0.627)","0.702 (0.678, 0.727)","0.604 (0.585, 0.622)","0.861 (0.803, 0.918)","0.709 (0.680, 0.738)"
LLama Few-Shot Embeddings RoBERTa (Teste 4),"0.725 (0.693, 0.757)","0.725 (0.694, 0.755)","0.705 (0.677, 0.733)","0.845 (0.799, 0.891)","0.606 (0.574, 0.639)","0.706 (0.679, 0.733)","0.605 (0.583, 0.628)","0.843 (0.784, 0.902)","0.704 (0.672, 0.736)"
LLama Few-Shot Embeddings BERTimbau (Teste 1),"0.725 (0.694, 0.757)","0.710 (0.684, 0.736)","0.678 (0.653, 0.704)","0.876 (0.824, 0.928)","0.526 (0.486, 0.567)","0.657 (0.625, 0.689)","0.575 (0.555, 0.595)","0.894 (0.844, 0.944)","0.699 (0.675, 0.723)"
LLama Few-Shot Embeddings BERTimbau (Teste 2),"0.733 (0.713, 0.754)","0.707 (0.691, 0.724)","0.668 (0.651, 0.685)	","0.902 (0.869, 0.934)","0.490 (0.466, 0.513)","0.635 (0.613, 0.656)","0.565 (0.553, 0.577)","0.925 (0.898, 0.952)","0.701 (0.687, 0.716)"
LLama Few-Shot Embeddings BERTimbau (Teste 3),"0.720 (0.712, 0.727)","0.713 (0.706, 0.721)","0.688 (0.678, 0.697)","0.854 (0.838, 0.870)","0.561 (0.536, 0.587)","0.677 (0.661, 0.693)","0.586 (0.576, 0.595)","0.865 (0.844, 0.887)","0.698 (0.692, 0.705)"
LLama Few-Shot Embeddings BERTimbau (Teste 4),"0.719 (0.704, 0.733)","0.718 (0.703, 0.734)","0.699 (0.681, 0.716)","0.838 (0.819, 0.858)","0.599 (0.563, 0.635)","0.698 (0.674, 0.723)","0.599 (0.581, 0.618)","0.838 (0.812, 0.864)","0.699 (0.685, 0.713)"
