model/test,macro_precision,macro_recall,macro_f1,class0precision,class0recall,class0f1,class1precision,class1recall,class1f1
LLama Zero-Shot (Teste 1). portugues sem conceito,"0.577 (0.552, 0.601)","0.592 (0.565, 0.618)","0.418 (0.403, 0.433)","0.910 (0.872, 0.948)","0.303 (0.283, 0.323)","0.455 (0.433, 0.476)","0.243 (0.232, 0.255)","0.880 (0.821, 0.939)","0.381 (0.362, 0.401)"
LLama Zero-Shot (Teste 2) ingles sem conceito,"0.581 (0.556, 0.606)","0.608 (0.575, 0.642)","0.455 (0.429, 0.482)","0.907 (0.873, 0.941)","0.364 (0.333, 0.394)","0.519 (0.485, 0.552)","0.255 (0.238, 0.272)","0.853 (0.795, 0.912)","0.392 (0.367, 0.417)"
"LLama Zero-Shot (Teste 3), portugues com conceito","0.563 (0.555, 0.572)","0.596 (0.584, 0.608)","0.541 (0.528, 0.554)","0.852 (0.846, 0.858)","0.605 (0.578, 0.633)","0.708 (0.689, 0.726)","0.275 (0.263, 0.286)","0.587 (0.556, 0.618)","0.374 (0.361, 0.387)"
"LLama Zero-Shot (Teste 4), ingles  com conceito","0.595 (0.573, 0.617)","0.603 (0.584, 0.623)","0.598 (0.576, 0.619)","0.841 (0.833, 0.848)","0.811 (0.775, 0.846)","0.825 (0.806, 0.845)","0.349 (0.311, 0.387)","0.396 (0.354, 0.438)","0.370 (0.340, 0.400)"
LLama Few-Shot (Teste 1),"0.592 (0.584, 0.601)","0.577 (0.567, 0.586)","0.351 (0.330, 0.373)","0.951 (0.935, 0.968)","0.203 (0.172, 0.234)","0.328 (0.288, 0.367)","0.234 (0.229, 0.238)","0.950 (0.928, 0.972)","0.375 (0.369, 0.380)"
LLama Few-Shot (Teste 2),"0.592 (0.584, 0.600)","0.578 (0.568, 0.588)","0.353 (0.332, 0.375)","0.950 (0.934, 0.966)","0.205 (0.175, 0.236)","0.331 (0.292, 0.370)","0.234 (0.229, 0.239)","0.951 (0.931, 0.970)","0.376 (0.370, 0.381)"
LLama Few-Shot (Teste 3),"0.588 (0.578, 0.597)","0.593 (0.581, 0.604)","0.398 (0.375, 0.421)","0.932 (0.915, 0.950)","0.272 (0.234, 0.309)","0.412 (0.371, 0.453)","0.243 (0.237, 0.250)","0.914 (0.884, 0.944)","0.384 (0.376, 0.391)"
LLama Few-Shot (Teste 4),"0.585 (0.575, 0.595)","0.588 (0.577, 0.600)","0.391 (0.370, 0.413)","0.929 (0.912, 0.946)","0.262 (0.229, 0.294)","0.402 (0.363, 0.440)","0.241 (0.235, 0.247)","0.915 (0.890, 0.940)","0.381 (0.373, 0.388)"
LLama Few-Shot Embeddings RoBERTa (Teste 1),"0.579 (0.553, 0.604)","0.586 (0.554, 0.618)","0.394 (0.359, 0.430)","0.918 (0.880, 0.957)","0.265 (0.219, 0.310)","0.410 (0.354, 0.465)","0.239 (0.224, 0.254)","0.907 (0.855, 0.959)","0.379 (0.357, 0.400)"
LLama Few-Shot Embeddings RoBERTa (Teste 2),"0.588 (0.555, 0.620)","0.594 (0.560, 0.629)","0.399 (0.372, 0.426)","0.933 (0.880, 0.985)","0.267 (0.232, 0.301)","0.414 (0.372, 0.455)","0.242 (0.228, 0.257)","0.922 (0.850, 0.993)","0.384 (0.360, 0.408)"
