id_comentario_anonimizado,comentario,final_misoginia,final_toxicidade
comentario_2104858,"Reparem que o ÚNICO que se da bem nessa história é o cara que não é casado, vai lá, come o abacaxi e vaza,os trouxas que são casado só se lascam.",0,1
comentario_220597,Resumindo : Promiscua = Prostituta,1,1
comentario_2452575,"Vamos lá, ele citou 3 mulheres . Somos em quantas mesmo ? Existe sim , muitas mulheres sacanas por aí, que não valorizam um casamento , que tudo é vaidade . Mas se procurarem nos lugares certos, por exemplo   , achará mulheres de valor ! Não se enganem com vídeos na Internet,  mulheres sábias normalmente não estão neles ....Sejam realistas e saibam valorizar uma mulher de verdade quando emcontrá-la , porque normalmente,  elas não serão padrão como vocês querem .",0,0
comentario_2749073,"Não é somente a mulher chata. Antigamente o casamento durava porque a mulher aceitava a traição masculina como algo natural. Quando ela contava a traição do seu esposo para outra pessoa, o conselho era, “ele te tratou mau, se não, então não separa, porque todos cometem esse erro, mesmo o homem caseiro, se tiver oportunidade, ele vai trair dentro da sua casa porque é a natureza do homem”.",1,0
comentario_2259119,Claro  que  as  mulheres  precisam  se  cuidar   mais  quando  existe  amor e  foi  o  espírito  santo quem  colocou  o sentimento não  há   lugar pra outra mulher.,1,0
comentario_1612877,"Além de inteligente, muito bonita.",0,0
comentario_2277299,"O cara que se submete a isso já tá morto moralmente. 1 chutando pica de tabela do outro, cada um pegando um tikin de doença do outro, tá maluco!😮😂😂😂",0,1
comentario_1012444,"PERFEITO"" EXCELENTE"" UM VERDADEIRO"" PAI E GUERREIRO""",0,0
comentario_1017290,"@  realmente tem muitos como vc disse, mas não me encaixo nessas características. Acho q tem que haver reciprocidade em ônus e bônus (sabendo que o homem acaba fazendo mais, como cavalheirismo). Pagar pra ter uma mulher do lado, tô fora, amor é ajudar o namorado/marido...",1,0
comentario_139225,"Rsss! 😂😂😂 ""Você não falou que a gente é só amigo? Moço,  atende ela aqui por favor!""",0,0
comentario_977259,Postando isso na internet se fazendo de vitima. Deve ser por isso que pulou fora.Capaz que foi ela que terminou e agora ta enxendo o saco. Quero mais contexto.,0,1
comentario_2052871,Ele tem que escolher a própria companhia. Mgtow forever. Viver a solitude.,0,0
comentario_511754,Sera q pedir pro pai comprar 1 casa ou contruir e colocar a casa no nome do pai ou da mae e eu e a mulher morar la tem chance dela pegar a casa no futuro sendo q esta no nome dos pais?,1,0
comentario_348757,"@  Salvador é diferente do Resto do Nordeste.. Até o interior da Bahia vc consegue enxergar isso. Mas não quer dizer que o racismo seja diferente..  Os lugares de pessoas com melhores condições de vida em Salvador é praticamente dominado por brancos.. Escolas mais caras é difícil vc ter 1 negro na turma...  Mas se vc for em periferias ou favelas, é 99% de negros por lá..",0,1
comentario_1167591,Se Enéas estivesse vivo ele daria  -30 de QI pra esse entrevistador.. oh cara íngua.. Rubão pode cobrar a aula!,0,1
comentario_1612266,"@  Exatamente, ambos os sexos possuem desejos e necessidades como eu disse, oque vejo é que homens e mulheres não estão sabendo lidar com as dificuldades de se relacionar e estão se tornando cada dia mais egocêntricos e egoístas sempre jogando a culpa no outro, sem assumir seus problemas, erros e defeitos.",0,0
comentario_766460,"Aquela travadinha na fala pq não podia falar o resto, seguido de um riso pra disfarçar... tão ficando tão manjadas que chega a dar tédio.",0,1
comentario_2775882,As mulheres sempre prontas para um amor verdadeiro!,1,0
comentario_349678,"Para as mulheres, homens são apenas ferramentas utilitárias. Elas não os ""amam"" pelo que são, mas pela utilidade.",1,1
comentario_1056642,Toma aí seu dia de princeso otario kkkkkkk...,0,1
comentario_2021751,"Lindo 😊   hoje completo 14 anos de casada e 19 anos no total, junto com meu esposo.Tenho 30 anos, conheci meu esposo aos 10 anos.Crescemos juntos viramos amigos , namoramos , noivamos e casamos.Hoje temos 01 ap em bairro considerado nobre, 01 filho e 01 cachorro rs...Provavelmente olham pra mim e dizem que casei por interesse tbm 😂 sou 6 anos mais nova que ele 😊Muitos desafios, brigas é impossivel nao ter rs, quase separaçao tambem diversas vezes..Porem quando entendi que pra dar certo temos que colocar Deus em primeiro lugar das nossas vidas, tudo flui muito melhor.Sou uma mulher feliz e submissa ao meu marido com toda honra e prazer ❤",1,0
